WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,VaporPressure,WindDirection,MeanSeaLevelPressure,LandVisibility,StationPressure,AirTemperature,Rainfall,DewPoint,RelativeHumidity,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,10-03-2019,13:00:00,27.16,000,1009.00,15.00,978.70,32.8,0.00,22.5,55,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,10-03-2019,13:00:00,22.73,000,1006.52,8.00,847.52,23.3,0.00,19.6,80,0.0
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.40,10-03-2019,13:00:00,27.18,150,1008.06,12.00,965.53,33.8,0.00,22.5,52,9.3
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,10-03-2019,13:00:00,27.54,120,1008.14,15.00,963.74,33.7,0.00,22.7,53,3.7
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,10-03-2019,13:00:00,32.08,000,1008.89,10.00,972.08,33.1,0.00,25.2,63,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,10-03-2019,13:00:00,29.89,200,1009.28,10.00,964.81,30.5,0.00,24.0,68,7.4
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,10-03-2019,13:00:00,30.93,000,1009.42,10.00,983.35,34.5,0.00,24.6,57,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,10-03-2019,13:00:00,27.29,210,1009.15,10.00,987.88,34.0,0.00,22.5,51,1.9
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,10-03-2019,13:00:00,29.04,000,1009.24,10.00,985.65,33.6,0.00,23.6,56,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,10-03-2019,13:00:00,27.18,190,1008.83,12.00,975.12,33.8,0.00,22.5,52,5.6
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,13.00,10-03-2019,13:00:00,27.34,000,1011.10,10.00,984.11,33.6,0.00,22.6,53,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,10-03-2019,13:00:00,28.15,190,1008.84,10.00,975.99,33.3,0.00,23.0,55,7.4
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,10-03-2019,13:00:00,31.34,270,1008.90,3.00,990.81,34.0,0.00,24.8,59,3.7
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,10-03-2019,13:00:00,29.13,000,1008.61,10.00,986.33,34.2,0.00,23.6,54,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,10-03-2019,13:00:00,30.69,190,1008.89,12.00,979.59,33.0,0.00,24.5,61,9.3
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,10-03-2019,13:00:00,31.11,000,1008.96,8.00,974.12,32.5,0.00,24.7,64,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,10-03-2019,13:00:00,29.38,110,1007.75,10.00,978.80,34.6,0.00,23.7,53,5.6
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,10-03-2019,13:00:00,32.18,000,1009.39,8.00,1002.25,34.8,0.00,25.3,58,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,10-03-2019,13:00:00,32.01,250,1008.76,8.00,989.35,35.0,0.00,25.2,57,3.7
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,10-03-2019,13:00:00,26.06,170,1008.17,8.00,980.30,35.5,0.00,21.8,45,7.4
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,10-03-2019,13:00:00,29.29,150,1008.72,9.00,988.99,34.0,0.00,23.7,55,5.6
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,10-03-2019,13:00:00,27.21,160,1009.85,7.00,988.58,34.1,0.00,22.5,51,3.7
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,10-03-2019,13:00:00,27.71,000,1009.03,9.00,989.93,33.5,0.00,22.8,54,0.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,10-03-2019,13:00:00,23.72,100,1009.38,9.00,992.99,34.0,0.00,20.2,45,3.7
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,10-03-2019,13:00:00,26.67,120,1009.98,9.00,992.99,35.1,0.00,22.2,47,7.4
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,10-03-2019,13:00:00,30.60,120,1008.43,9.00,983.29,34.9,0.00,24.4,55,3.7
