WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,VaporPressure,Rainfall24Hr,MeanSeaLevelPressure,RelativeHumidity,AirTemperature,WindSpeed,DewPoint,StationPressure,LandVisibility,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,10-03-2019,16:00:00,30.78,0.00,1006.36,59,33.6,0.0,24.5,976.21,15.00,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,140,10-03-2019,16:00:00,19.71,0.00,1007.01,92,18.6,9.3,17.3,845.65,8.00,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,250,10-03-2019,16:00:00,26.20,0.20,1005.60,51,33.3,13.0,21.9,963.10,12.00,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,240,10-03-2019,16:00:00,26.38,0.00,1006.29,58,31.1,5.6,22.0,961.60,15.00,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,10-03-2019,16:00:00,29.41,0.00,1006.37,57,33.5,0.0,23.8,969.69,10.00,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,000,10-03-2019,16:00:00,29.48,0.00,1006.99,66,31.0,0.0,23.8,962.69,12.00,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,180,10-03-2019,16:00:00,29.55,0.00,1006.90,52,35.1,9.3,23.8,980.95,10.00,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,100,10-03-2019,16:00:00,31.72,0.00,1006.93,60,33.9,9.3,25.0,985.70,10.00,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,10-03-2019,16:00:00,28.18,0.00,1006.92,50,35.0,0.0,23.1,983.49,10.00,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,210,10-03-2019,16:00:00,24.67,0.00,1006.14,43,35.5,5.6,20.9,972.70,12.00,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,10-03-2019,16:00:00,28.43,13.00,1006.53,53,34.0,0.0,23.2,979.70,10.00,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,10-03-2019,16:00:00,28.88,0.00,1006.29,53,34.5,0.0,23.5,973.65,10.00,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,150,10-03-2019,16:00:00,29.83,0.00,1006.89,59,33.0,7.4,24.0,988.78,3.00,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,10-03-2019,16:00:00,29.29,0.00,1006.41,53,34.7,0.0,23.7,984.21,10.00,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,10-03-2019,16:00:00,31.50,0.00,1006.42,60,33.8,0.0,24.9,977.27,12.00,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,10-03-2019,16:00:00,30.69,0.00,1006.48,61,33.0,0.0,24.5,971.78,8.00,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,270,10-03-2019,16:00:00,32.67,0.00,1005.83,61,34.2,3.7,25.5,976.90,12.00,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,10-03-2019,16:00:00,30.52,0.00,1006.88,54,35.0,0.0,24.4,999.76,8.00,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,050,10-03-2019,16:00:00,31.60,0.00,1006.67,55,35.5,7.4,25.0,987.33,6.00,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,000,10-03-2019,16:00:00,27.89,0.00,1006.04,50,35.0,0.0,22.9,978.18,8.00,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,100,10-03-2019,16:00:00,27.19,0.00,1006.83,47,35.5,5.6,22.5,987.22,8.00,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,180,10-03-2019,16:00:00,29.09,0.00,1007.28,53,34.6,3.7,23.6,986.09,7.00,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,000,10-03-2019,16:00:00,22.96,0.00,1006.51,42,34.6,0.0,19.7,987.52,11.00,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,200,10-03-2019,16:00:00,25.08,0.00,1007.53,45,35.0,3.7,21.1,991.21,9.00,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,000,10-03-2019,16:00:00,27.51,0.00,1007.41,53,33.4,0.0,22.7,990.37,9.00,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,060,10-03-2019,16:00:00,31.01,0.00,1005.99,57,34.4,3.7,24.6,980.87,9.00,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,000,10-03-2019,16:00:00,36.38,0.00,1007.14,68,34.2,0.0,27.3,1001.49,8.00,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,000,10-03-2019,16:00:00,32.84,0.00,1006.86,62,34.0,0.0,25.6,1000.81,8.00,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,150,10-03-2019,16:00:00,26.60,0.00,1006.94,49,34.5,5.6,22.1,990.90,9.00,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,210,10-03-2019,16:00:00,29.73,0.00,1006.50,67,30.7,5.6,23.9,984.47,10.00,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,210,10-03-2019,16:00:00,27.71,0.00,1008.42,66,29.8,7.4,22.8,994.15,7.00,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,000,10-03-2019,16:00:00,31.52,0.00,1007.06,66,32.0,0.0,24.9,990.95,10.00,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,120,10-03-2019,16:00:00,27.32,0.00,1006.75,59,31.6,5.6,22.5,1001.61,10.00,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,000,10-03-2019,16:00:00,28.91,0.00,1005.94,62,31.7,0.0,23.5,992.96,10.00,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,350,10-03-2019,16:00:00,30.52,0.00,1007.23,54,35.0,3.7,24.4,998.14,10.00,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,100,10-03-2019,16:00:00,25.94,0.00,1006.24,45,35.3,9.3,21.7,985.15,9.00,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,120,10-03-2019,16:00:00,29.21,0.00,1006.60,53,34.8,11.1,23.7,989.55,8.00,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,070,10-03-2019,16:00:00,25.27,0.00,1006.22,45,35.1,5.6,21.3,990.81,11.00,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,000,10-03-2019,16:00:00,30.52,0.00,1005.48,54,35.0,0.0,24.4,987.11,8.00,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,000,10-03-2019,16:00:00,29.36,0.00,1007.12,79,27.8,0.0,23.7,956.24,11.00,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,000,10-03-2019,16:00:00,33.34,0.00,1006.64,61,34.5,0.0,25.9,1002.78,5.00,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,000,10-03-2019,16:00:00,25.68,6.00,1009.15,92,22.9,0.0,21.5,914.28,5.00,4.20
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,000,10-03-2019,16:00:00,30.50,0.00,1006.57,56,34.3,0.0,24.4,990.97,10.00,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,000,10-03-2019,16:00:00,33.82,5.90,1007.54,91,27.8,0.0,26.1,1003.52,6.00,5.90
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,000,10-03-2019,16:00:00,31.59,0.10,1007.75,60,33.7,0.0,25.0,997.30,10.00,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,000,10-03-2019,16:00:00,31.59,0.00,1006.96,60,33.7,0.0,25.0,1005.08,10.00,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,060,10-03-2019,16:00:00,28.43,0.00,1006.48,53,34.0,9.3,23.2,986.11,7.00,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,000,10-03-2019,16:00:00,29.87,0.00,1006.27,56,34.0,0.0,24.0,989.02,10.00,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,000,10-03-2019,16:00:00,28.68,0.00,1006.18,57,33.0,0.0,23.3,990.35,10.00,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,000,10-03-2019,16:00:00,31.77,0.00,1007.20,68,31.7,0.0,25.0,993.38,9.00,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,000,10-03-2019,16:00:00,33.58,0.00,1007.88,71,32.0,0.0,26.0,993.28,10.00,0.00
