WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,WindDirection,LandVisibility,DewPoint,StationPressure,RelativeHumidity,Rainfall24Hr,MeanSeaLevelPressure,MaximumTemperature,VaporPressure,AirTemperature,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,10-03-2019,19:00:00,000,12.00,24.9,977.01,77,0.00,1007.59,34.5,31.56,29.5,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,9.3,10-03-2019,19:00:00,200,8.00,17.5,848.47,83,0.00,1009.32,24.3,19.94,20.4,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.0,10-03-2019,19:00:00,000,12.00,23.9,965.12,77,0.00,1008.43,34.0,29.57,28.2,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,10-03-2019,19:00:00,000,12.00,23.0,963.20,82,0.00,1008.71,35.2,28.01,26.2,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,10-03-2019,19:00:00,000,8.00,24.6,971.40,84,0.00,1008.88,34.1,30.97,27.5,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.0,10-03-2019,19:00:00,000,8.00,23.8,964.01,88,0.00,1009.13,32.0,29.50,26.0,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.0,10-03-2019,19:00:00,000,8.00,25.6,982.36,75,0.00,1008.75,35.7,32.75,30.5,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.0,10-03-2019,19:00:00,000,11.00,25.2,987.04,75,0.00,1008.56,35.6,32.13,30.2,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,10-03-2019,19:00:00,000,10.00,25.7,984.12,69,0.00,1007.79,35.8,32.99,32.0,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,3.7,10-03-2019,19:00:00,270,10.00,23.1,973.78,61,0.00,1007.71,36.0,28.23,31.5,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,10-03-2019,19:00:00,000,10.00,24.4,981.67,74,13.00,1008.96,35.3,30.63,29.6,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,10-03-2019,19:00:00,000,10.00,23.7,974.72,67,0.00,1007.82,35.6,29.25,30.6,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.0,10-03-2019,19:00:00,000,3.00,23.6,990.09,77,0.00,1008.53,35.2,29.19,28.0,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,10-03-2019,19:00:00,000,10.00,24.9,984.91,73,0.00,1007.45,35.2,31.48,30.3,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,10-03-2019,19:00:00,000,10.00,24.4,979.03,83,0.00,1008.84,34.5,30.61,27.6,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,10-03-2019,19:00:00,000,7.00,24.7,972.85,78,0.00,1008.06,33.5,31.13,29.0,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.0,10-03-2019,19:00:00,000,8.00,24.0,978.49,77,0.00,1008.04,36.8,29.76,28.3,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,10-03-2019,19:00:00,000,8.00,24.9,1001.16,70,0.00,1008.38,37.0,31.47,31.0,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,3.7,10-03-2019,19:00:00,040,5.00,25.7,988.56,69,0.00,1008.14,36.2,32.99,32.0,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,0.0,10-03-2019,19:00:00,000,8.00,23.6,979.72,69,0.00,1008.09,36.4,29.19,30.0,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.0,10-03-2019,19:00:00,000,8.00,24.0,987.71,66,0.00,1007.61,35.9,29.88,31.2,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.0,10-03-2019,19:00:00,000,6.00,24.6,988.17,80,0.00,1009.83,35.1,30.98,28.5,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.0,10-03-2019,19:00:00,000,10.00,22.3,989.48,63,0.00,1008.79,34.9,26.93,30.1,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.0,10-03-2019,19:00:00,000,8.00,22.6,992.80,67,0.00,1009.44,34.8,27.42,29.5,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,10-03-2019,19:00:00,000,8.00,23.1,991.71,70,0.00,1009.02,35.2,28.21,29.2,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,3.7,10-03-2019,19:00:00,080,9.00,25.6,982.76,76,0.00,1008.27,35.3,32.92,30.3,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,5.6,10-03-2019,19:00:00,270,8.00,27.3,1002.77,78,0.00,1008.48,35.0,36.34,31.6,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.0,10-03-2019,19:00:00,000,7.00,26.5,1002.14,78,0.00,1008.26,34.7,34.57,30.8,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,10-03-2019,19:00:00,000,8.00,21.6,992.62,64,0.00,1008.98,36.2,25.71,29.0,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,5.6,10-03-2019,19:00:00,210,10.00,20.9,985.74,75,0.00,1008.18,34.6,24.69,25.6,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,3.7,10-03-2019,19:00:00,180,6.00,23.9,994.74,81,0.00,1009.13,35.8,29.60,27.5,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,10-03-2019,19:00:00,000,8.00,24.4,992.37,81,0.00,1008.72,36.0,30.56,28.0,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.0,10-03-2019,19:00:00,000,10.00,22.6,1003.20,72,0.00,1008.42,35.3,27.42,28.2,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,10-03-2019,19:00:00,000,8.00,24.9,994.26,75,0.00,1007.35,36.3,31.40,29.7,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.0,10-03-2019,19:00:00,000,10.00,22.4,998.98,68,0.00,1008.26,35.0,27.03,29.0,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,3.7,10-03-2019,19:00:00,120,8.00,24.6,985.90,69,0.00,1007.32,35.6,30.98,30.9,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.0,10-03-2019,19:00:00,000,6.00,24.3,990.30,71,0.00,1007.63,35.6,30.31,30.0,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.0,10-03-2019,19:00:00,000,10.00,23.1,992.14,64,0.00,1007.79,35.7,28.34,30.7,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.0,10-03-2019,19:00:00,000,8.00,25.5,989.07,79,0.00,1007.81,35.3,32.71,29.5,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,10-03-2019,19:00:00,000,8.00,22.8,959.73,93,0.00,1011.46,32.2,27.76,24.0,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.0,10-03-2019,19:00:00,000,4.00,26.4,1004.35,81,0.00,1008.27,34.6,34.34,30.0,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.0,10-03-2019,19:00:00,000,5.00,19.7,915.02,93,6.00,1010.60,27.2,23.00,21.0,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.0,10-03-2019,19:00:00,000,8.00,25.8,992.90,78,0.00,1008.76,35.3,33.17,30.0,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.0,10-03-2019,19:00:00,000,5.00,26.6,1005.02,93,5.90,1009.05,33.7,34.90,27.9,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.0,10-03-2019,19:00:00,000,8.00,25.7,999.24,78,0.00,1009.84,34.3,32.96,29.9,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.0,10-03-2019,19:00:00,000,7.00,26.3,1007.30,78,0.00,1009.21,35.5,34.22,30.5,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.0,10-03-2019,19:00:00,000,7.00,24.2,988.43,70,0.00,1009.10,35.5,30.26,30.4,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.0,10-03-2019,19:00:00,000,10.00,26.0,991.12,80,0.00,1008.64,34.0,33.54,29.9,0.00
