WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,AirTemperature,DewPoint,RelativeHumidity,LandVisibility,StationPressure,WindDirection,Rainfall24Hr,WindSpeed,MeanSeaLevelPressure,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,10-04-2019,01:00:00,26.2,24.8,92,8.00,979.63,000,0.00,0.0,1010.64,31.22
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,10-04-2019,01:00:00,18.0,17.0,94,8.00,848.15,150,0.00,5.6,1010.34,19.36
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,10-04-2019,01:00:00,24.5,22.3,87,10.00,966.45,000,0.00,0.0,1010.37,26.84
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,10-04-2019,01:00:00,23.6,22.4,93,10.00,964.48,000,0.00,0.0,1010.46,27.08
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,10-04-2019,01:00:00,23.4,23.2,99,5.00,973.34,000,0.00,0.0,1011.42,28.51
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,10-04-2019,01:00:00,24.0,22.8,93,7.00,964.95,000,0.00,0.0,1010.41,27.76
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,10-04-2019,01:00:00,25.3,23.8,92,6.00,984.34,000,0.00,0.0,1011.24,29.54
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,10-04-2019,01:00:00,25.6,24.3,93,12.00,988.79,100,0.00,1.9,1010.68,30.36
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,10-04-2019,01:00:00,25.4,23.3,88,6.00,987.11,000,0.00,0.0,1011.39,28.67
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,10-04-2019,01:00:00,26.0,22.7,82,10.00,976.62,000,0.00,0.0,1011.28,27.66
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,10-04-2019,01:00:00,26.0,24.6,92,10.00,983.95,000,0.00,0.0,1011.63,30.84
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.60,10-04-2019,01:00:00,24.7,23.1,91,10.00,977.65,000,0.60,0.0,1011.52,28.21
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,10-04-2019,01:00:00,25.5,23.6,89,3.00,991.50,000,0.00,0.0,1010.12,29.11
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,10-04-2019,01:00:00,25.2,22.8,87,10.00,987.52,000,0.00,0.0,1010.51,27.80
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,10-04-2019,01:00:00,23.2,22.0,93,7.00,980.57,000,0.00,0.0,1010.88,26.41
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,10-04-2019,01:00:00,25.3,24.1,93,7.00,973.45,000,0.00,0.0,1009.13,30.07
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,10-04-2019,01:00:00,24.1,23.2,95,5.00,980.05,000,0.00,0.0,1010.08,28.44
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,10-04-2019,01:00:00,26.0,22.6,82,8.00,1002.72,000,0.00,0.0,1010.07,27.40
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,10-04-2019,01:00:00,28.0,25.4,86,5.00,989.32,000,0.00,0.0,1009.18,32.52
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,10-04-2019,01:00:00,25.4,23.0,87,7.00,981.18,240,0.00,3.7,1010.03,28.15
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,10-04-2019,01:00:00,27.4,23.9,81,8.00,990.23,000,0.00,0.0,1010.43,29.69
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,10-04-2019,01:00:00,24.8,23.0,90,6.00,989.37,000,0.00,0.0,1011.33,28.13
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,10-04-2019,01:00:00,26.6,24.0,86,8.00,990.82,000,0.00,0.0,1010.39,29.80
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,10-04-2019,01:00:00,27.0,22.7,77,7.00,994.20,000,0.00,0.0,1011.00,27.62
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,10-04-2019,01:00:00,24.9,23.4,92,8.00,993.58,000,0.00,0.0,1011.17,28.82
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,10-04-2019,01:00:00,27.2,25.5,90,8.00,983.96,000,0.00,0.0,1009.77,32.61
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,10-04-2019,01:00:00,27.1,26.0,94,8.00,1004.92,000,0.00,0.0,1010.73,33.54
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,10-04-2019,01:00:00,26.5,25.1,92,5.00,1003.63,000,0.00,0.0,1009.85,31.79
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,10-04-2019,01:00:00,25.5,22.7,84,7.00,993.73,000,0.00,0.0,1010.29,27.55
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,10-04-2019,01:00:00,23.8,21.7,88,10.00,987.69,000,0.00,0.0,1010.32,25.92
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,10-04-2019,01:00:00,25.4,23.3,88,6.00,996.64,000,0.00,0.0,1011.16,28.67
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,10-04-2019,01:00:00,25.5,23.3,88,7.00,993.73,000,0.00,0.0,1010.25,28.59
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,10-04-2019,01:00:00,26.2,24.5,90,10.00,1005.29,000,0.00,0.0,1010.55,30.67
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,10-04-2019,01:00:00,26.8,24.2,86,8.00,996.08,000,0.00,0.0,1009.32,30.18
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,10-04-2019,01:00:00,26.3,24.0,87,10.00,1001.02,000,0.00,0.0,1010.39,29.78
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,10-04-2019,01:00:00,27.0,24.5,87,7.00,988.58,000,0.00,0.0,1010.33,30.83
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,10-04-2019,01:00:00,26.4,24.4,89,6.00,992.28,000,0.00,0.0,1009.86,30.51
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,10-04-2019,01:00:00,27.5,24.0,81,10.00,994.11,000,0.00,0.0,1009.96,29.88
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,10-04-2019,01:00:00,25.7,24.1,91,6.00,990.66,000,0.00,0.0,1009.68,30.01
