WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,MeanSeaLevelPressure,DewPoint,AirTemperature,WindSpeed,WindDirection,StationPressure,Rainfall24Hr,VaporPressure,Rainfall,MinimumTemperature,RelativeHumidity,LandVisibility
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,10-04-2019,07:00:00,1010.14,16.8,19.6,9.3,200,848.77,0.00,19.10,0.00,17.6,84,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10-04-2019,07:00:00,1010.99,21.8,23.3,0.0,000,966.86,0.00,26.09,0.00,22.6,91,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,10-04-2019,07:00:00,1010.98,21.8,22.4,0.0,000,964.79,0.00,26.09,0.00,21.0,96,12.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,10-04-2019,07:00:00,1011.39,22.5,22.5,0.0,000,973.19,0.00,27.24,0.00,22.4,100,6.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,10-04-2019,07:00:00,1011.31,22.6,23.2,0.0,000,965.68,0.00,27.41,0.00,22.0,96,7.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,10-04-2019,07:00:00,1011.89,23.4,24.0,0.0,000,984.85,0.00,28.78,0.00,23.9,97,.80
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,10-04-2019,07:00:00,1010.71,23.3,23.9,0.0,000,988.70,0.00,28.61,0.00,23.7,97,8.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,10-04-2019,07:00:00,1011.41,23.2,24.1,0.0,000,987.03,0.00,28.44,0.00,22.5,95,6.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10-04-2019,07:00:00,1011.09,22.3,24.2,0.0,000,976.23,0.00,26.84,0.00,24.1,89,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10-04-2019,07:00:00,1011.86,24.1,24.5,0.0,000,984.04,0.00,29.93,0.00,23.6,97,7.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10-04-2019,07:00:00,1011.23,22.7,23.6,0.0,000,977.25,0.60,27.58,0.00,23.5,95,7.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,10-04-2019,07:00:00,1010.59,24.6,25.0,0.0,000,991.93,0.00,30.85,0.00,24.4,97,.70
48331,NAN,น่าน,น่าน,18.77972,100.77778,10-04-2019,07:00:00,1010.88,23.0,24.2,0.0,000,987.80,0.00,28.10,0.00,23.6,93,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,10-04-2019,07:00:00,1011.39,21.8,22.4,0.0,000,980.98,0.00,26.09,0.00,22.0,96,.70
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,10-04-2019,07:00:00,1011.03,22.8,23.5,0.0,000,975.07,0.00,27.66,0.00,23.0,96,8.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,10-04-2019,07:00:00,1010.63,22.4,23.0,0.0,000,980.48,0.00,27.07,0.00,22.8,96,3.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,10-04-2019,07:00:00,1010.24,23.5,25.0,0.0,000,1002.86,0.00,29.00,0.00,25.0,92,7.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,10-04-2019,07:00:00,1009.91,23.7,26.3,7.4,120,989.92,0.00,29.25,0.00,25.7,86,5.00
48353,LOEI,เลย,เลย,17.45000,101.73333,10-04-2019,07:00:00,1010.46,22.5,24.0,0.0,000,981.47,0.00,27.25,0.00,22.6,91,3.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,10-04-2019,07:00:00,1010.67,24.5,26.1,1.9,010,990.38,0.00,30.76,0.00,25.3,91,5.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,10-04-2019,07:00:00,1011.33,24.0,25.5,0.0,000,989.42,0.00,29.91,0.00,24.4,92,5.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,10-04-2019,07:00:00,1011.16,24.1,26.4,1.9,150,991.57,0.00,29.97,0.00,25.4,87,6.00
