WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,StationPressure,LandVisibility,RelativeHumidity,WindDirection,VaporPressure,DewPoint,Rainfall24Hr,WindSpeed,MeanSeaLevelPressure,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,10-04-2019,10:00:00,980.92,10.00,73,000,30.08,24.1,0.00,0.0,1011.62,29.6
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,10-04-2019,10:00:00,850.60,8.00,92,180,22.13,19.1,0.00,5.6,1011.85,20.4
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,10-04-2019,10:00:00,968.18,10.00,67,110,27.13,22.4,0.00,1.9,1011.49,29.2
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,10-04-2019,10:00:00,966.23,15.00,68,000,28.15,23.0,0.00,0.0,1011.36,29.6
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,10-04-2019,10:00:00,974.84,12.00,78,050,31.13,24.7,0.00,3.7,1012.27,29.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,10-04-2019,10:00:00,966.53,9.00,75,000,30.72,24.5,0.00,0.0,1011.24,29.5
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,10-04-2019,10:00:00,986.09,10.00,75,120,29.63,23.9,0.00,3.7,1012.73,28.8
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,10-04-2019,10:00:00,989.95,5.00,68,300,28.91,23.5,0.00,3.7,1011.55,30.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,10-04-2019,10:00:00,988.03,10.00,71,000,28.75,23.4,0.00,0.0,1012.02,29.2
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,10-04-2019,10:00:00,977.47,12.00,61,340,25.94,21.7,0.00,3.7,1011.69,30.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,10-04-2019,10:00:00,984.43,10.00,71,000,30.31,24.3,0.00,0.0,1011.75,30.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,10-04-2019,10:00:00,978.61,10.00,70,000,28.29,23.1,0.60,0.0,1012.01,29.1
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,10-04-2019,10:00:00,993.10,2.00,78,250,33.17,25.8,0.00,1.9,1011.47,30.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,10-04-2019,10:00:00,989.44,10.00,69,000,29.39,23.7,0.00,0.0,1012.10,30.1
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,10-04-2019,10:00:00,982.67,12.00,74,000,29.74,23.9,0.00,0.0,1012.45,29.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,10-04-2019,10:00:00,976.40,8.00,75,000,31.72,25.0,0.00,0.0,1011.62,30.0
