WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,AirTemperature,Rainfall24Hr,WindSpeed,VaporPressure,WindDirection,LandVisibility,StationPressure,DewPoint,MeanSeaLevelPressure,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,10-04-2019,16:00:00,33.5,0.00,0.0,30.87,000,15.00,975.31,24.6,1005.44,60
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,10-04-2019,16:00:00,22.3,0.00,9.3,22.39,180,8.00,846.34,19.3,1005.69,83
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.01,10-04-2019,16:00:00,25.8,0.01,11.1,23.55,130,10.00,964.57,20.1,1008.22,71
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.60,10-04-2019,16:00:00,24.7,0.60,0.0,25.68,000,12.00,962.82,21.5,1008.55,83
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.01,10-04-2019,16:00:00,25.0,0.01,5.6,29.00,310,8.00,971.35,23.5,1009.15,92
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,10-04-2019,16:00:00,29.3,0.00,5.6,28.67,040,10.00,962.96,23.3,1007.52,70
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,10-04-2019,16:00:00,28.0,0.00,7.4,27.06,150,10.00,981.79,22.4,1008.38,72
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,10-04-2019,16:00:00,34.7,0.00,3.7,26.44,270,15.00,984.43,22.0,1005.57,48
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,10-04-2019,16:00:00,33.8,0.00,0.0,28.88,000,10.00,982.30,23.5,1005.79,55
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,10-04-2019,16:00:00,35.0,0.00,5.6,26.19,210,10.00,971.69,21.9,1005.16,47
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,10-04-2019,16:00:00,32.8,0.00,0.0,30.28,000,10.00,979.14,24.2,1006.06,61
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,10-04-2019,16:00:00,33.4,0.60,0.0,27.23,000,10.00,972.95,22.5,1005.69,53
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,10-04-2019,16:00:00,29.0,0.00,5.6,26.77,150,8.00,988.11,22.2,1006.45,67
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,10-04-2019,16:00:00,29.2,0.00,0.0,26.60,000,10.00,985.37,22.1,1008.01,66
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,10-04-2019,16:00:00,28.5,0.00,0.0,26.13,000,10.00,978.70,21.8,1008.41,67
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,10-04-2019,16:00:00,33.4,0.00,0.0,28.92,000,8.00,970.94,23.5,1005.57,56
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.40,10-04-2019,16:00:00,23.8,0.40,0.0,27.42,000,5.00,979.13,22.6,1009.15,93
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,10-04-2019,16:00:00,34.8,0.00,0.0,30.68,000,8.00,998.59,24.5,1005.70,55
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,10-04-2019,16:00:00,26.5,0.00,7.4,26.47,080,5.00,988.96,22.0,1008.92,77
48353,LOEI,เลย,เลย,17.45000,101.73333,0.80,10-04-2019,16:00:00,24.5,0.80,5.6,27.35,260,5.00,980.46,22.6,1009.38,89
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,3.50,10-04-2019,16:00:00,24.3,3.70,3.7,28.02,270,5.00,989.03,23.0,1009.41,92
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,10-04-2019,16:00:00,30.0,0.00,0.0,30.03,000,10.00,986.76,24.1,1008.28,71
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,10-04-2019,16:00:00,30.0,0.00,3.7,27.55,230,12.00,988.52,22.7,1007.82,65
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,10-04-2019,16:00:00,31.9,0.01,1.9,24.65,240,12.00,991.45,20.9,1007.94,52
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,10-04-2019,16:00:00,32.1,0.50,0.0,25.55,000,12.00,991.00,21.4,1008.13,53
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,10-04-2019,16:00:00,24.8,6.20,5.6,26.10,090,10.00,982.00,21.8,1007.98,83
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,10-04-2019,16:00:00,33.8,0.00,3.7,33.61,040,8.00,999.85,26.0,1005.50,64
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,10-04-2019,16:00:00,33.7,0.00,5.6,33.08,140,8.00,999.55,25.7,1005.60,63
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,10-04-2019,16:00:00,31.5,0.00,0.0,26.32,000,9.00,991.60,21.9,1007.80,57
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,10-04-2019,16:00:00,32.9,0.00,3.7,29.05,180,10.00,982.63,23.6,1004.47,58
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,10-04-2019,16:00:00,33.5,0.00,0.0,25.49,000,6.00,992.18,21.4,1006.25,49
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,10-04-2019,16:00:00,35.0,0.00,0.0,27.32,000,10.00,989.37,22.5,1005.30,49
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,10-04-2019,16:00:00,32.5,0.00,9.3,34.07,040,8.00,1001.04,26.2,1006.17,70
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,10-04-2019,16:00:00,30.0,0.00,0.0,28.91,000,10.00,993.19,23.5,1006.25,68
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,10-04-2019,16:00:00,34.0,0.00,3.7,29.29,150,10.00,996.77,23.7,1005.87,55
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,6.00,10-04-2019,16:00:00,28.0,6.00,3.7,29.74,020,9.00,986.74,23.9,1008.38,79
