WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,WindDirection,StationPressure,MeanSeaLevelPressure,AirTemperature,Rainfall24Hr,RelativeHumidity,VaporPressure,DewPoint,Rainfall,MaximumTemperature,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,10.00,10-04-2019,19:00:00,000,976.34,1006.92,29.3,0.00,79,32.01,25.2,0.00,34.3,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,8.00,10-04-2019,19:00:00,000,847.78,1008.72,20.0,0.00,86,20.05,17.6,0.00,23.0,0.0
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10.00,10-04-2019,19:00:00,160,965.38,1009.33,24.0,0.01,83,24.78,20.9,0.00,32.4,1.9
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,10.00,10-04-2019,19:00:00,000,963.66,1009.58,23.7,0.60,89,26.00,21.7,0.00,34.8,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,8.00,10-04-2019,19:00:00,000,972.46,1010.43,24.0,0.40,98,29.30,23.7,0.40,33.3,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,8.00,10-04-2019,19:00:00,000,964.63,1009.77,26.0,0.10,84,28.18,23.1,0.10,30.3,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,8.00,10-04-2019,19:00:00,230,983.87,1010.79,25.0,0.00,83,26.43,22.0,0.00,34.3,3.7
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,7.00,10-04-2019,19:00:00,090,987.24,1009.21,24.0,4.00,93,27.76,22.8,4.00,35.3,5.6
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,8.00,10-04-2019,19:00:00,000,985.85,1010.00,26.5,5.40,88,30.43,24.3,5.40,35.0,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,10-04-2019,19:00:00,000,974.68,1009.51,24.0,40.20,83,24.78,20.9,40.20,35.3,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,5.00,10-04-2019,19:00:00,080,982.22,1010.08,23.5,32.00,96,27.66,22.8,32.00,35.5,9.3
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,8.00,10-04-2019,19:00:00,120,975.50,1009.26,25.0,4.20,83,26.43,22.0,3.60,35.0,7.4
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,5.00,10-04-2019,19:00:00,300,991.40,1010.07,24.8,3.90,87,27.10,22.4,3.90,34.0,1.9
48331,NAN,น่าน,น่าน,18.77972,100.77778,7.00,10-04-2019,19:00:00,000,987.46,1010.57,23.6,19.20,92,26.83,22.2,19.20,34.2,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,8.00,10-04-2019,19:00:00,000,980.52,1010.79,23.5,1.20,90,25.92,21.7,1.20,33.0,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,6.00,10-04-2019,19:00:00,080,974.41,1010.23,24.4,24.40,93,28.45,23.2,24.40,33.8,7.4
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,2.00,10-04-2019,19:00:00,000,979.47,1009.59,23.0,0.50,96,26.83,22.2,0.10,34.5,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,6.00,10-04-2019,19:00:00,000,1001.27,1008.63,25.3,7.90,84,26.95,22.3,7.90,36.0,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,5.00,10-04-2019,19:00:00,340,989.79,1009.83,25.5,0.00,89,29.11,23.6,0.00,31.4,13.0
48353,LOEI,เลย,เลย,17.45000,101.73333,8.00,10-04-2019,19:00:00,330,981.16,1010.15,24.0,1.20,91,27.25,22.5,0.40,33.9,3.7
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,8.00,10-04-2019,19:00:00,320,989.73,1010.15,24.0,6.10,95,28.27,23.1,2.40,30.7,3.7
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,10.00,10-04-2019,19:00:00,320,988.02,1009.79,27.0,0.00,81,28.94,23.5,0.00,31.7,7.4
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,10.00,10-04-2019,19:00:00,330,990.14,1009.64,27.5,0.00,82,30.15,24.2,0.00,31.1,7.4
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,10.00,10-04-2019,19:00:00,270,992.93,1009.64,28.1,0.01,74,28.04,23.0,0.00,32.6,1.9
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,10.00,10-04-2019,19:00:00,000,992.56,1009.97,27.6,0.50,79,28.98,23.5,0.00,33.0,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,9.00,10-04-2019,19:00:00,310,982.88,1008.92,24.3,6.20,91,27.51,22.7,0.00,32.7,9.3
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10.00,10-04-2019,19:00:00,170,1002.52,1008.30,27.7,0.00,80,29.71,23.9,0.00,35.0,5.6
