WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,AirTemperature,MeanSeaLevelPressure,StationPressure,DewPoint,VaporPressure,Rainfall,LandVisibility,Rainfall24Hr,WindSpeed,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,84,10-04-2019,22:00:00,26.9,1009.98,979.07,24.0,29.83,0.00,10.00,0.00,0.0,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,94,10-04-2019,22:00:00,19.4,1010.80,849.23,18.4,21.19,0.00,8.00,0.00,7.4,140
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,85,10-04-2019,22:00:00,23.7,1011.81,967.70,21.0,24.78,0.00,10.00,0.01,1.9,160
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,93,10-04-2019,22:00:00,23.0,1011.96,965.82,21.8,26.09,0.00,12.00,0.60,0.0,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,100,10-04-2019,22:00:00,23.5,1012.15,974.05,23.5,28.94,0.00,6.00,0.40,0.0,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,94,10-04-2019,22:00:00,24.0,1012.32,966.77,23.0,28.01,0.10,8.00,0.20,0.0,000
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,89,10-04-2019,22:00:00,23.7,1012.78,985.69,21.7,26.00,0.00,7.00,0.00,0.0,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,96,10-04-2019,22:00:00,22.9,1013.36,991.21,22.3,26.91,12.00,5.00,16.00,1.9,050
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,95,10-04-2019,22:00:00,24.6,1011.73,987.38,23.7,29.33,1.20,6.00,6.60,0.0,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,90,10-04-2019,22:00:00,24.7,1012.48,977.63,22.9,27.95,0.50,10.00,40.70,0.0,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,97,10-04-2019,22:00:00,23.9,1014.44,986.49,23.3,28.61,8.00,5.00,40.00,0.0,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,85,10-04-2019,22:00:00,24.3,1012.26,978.33,21.6,25.76,0.20,8.00,4.40,0.0,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,94,10-04-2019,22:00:00,24.5,1011.98,993.26,23.5,28.89,0.00,4.00,3.90,0.0,000
48331,NAN,น่าน,น่าน,18.77972,100.77778,96,10-04-2019,22:00:00,23.3,1012.52,989.34,22.5,27.33,0.10,7.00,19.30,0.0,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,93,10-04-2019,22:00:00,22.5,1012.54,982.11,21.3,25.28,0.01,7.00,1.20,0.0,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,93,10-04-2019,22:00:00,24.0,1013.06,977.09,22.8,27.76,4.20,7.00,28.60,0.0,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,97,10-04-2019,22:00:00,22.8,1012.15,981.94,22.3,26.99,0.00,1.00,0.50,3.7,290
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,88,10-04-2019,22:00:00,25.0,1011.85,1004.47,22.9,27.96,0.01,7.00,7.90,0.0,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,92,10-04-2019,22:00:00,25.0,1011.52,991.42,23.5,29.00,0.00,5.00,0.00,5.6,230
48353,LOEI,เลย,เลย,17.45000,101.73333,93,10-04-2019,22:00:00,23.5,1012.54,983.43,22.3,26.91,0.00,5.00,1.20,5.6,310
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,96,10-04-2019,22:00:00,24.1,1011.89,991.45,23.4,28.70,0.00,5.00,6.10,0.0,000
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,90,10-04-2019,22:00:00,24.2,1011.55,989.54,22.4,27.09,0.00,10.00,0.00,0.0,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,85,10-04-2019,22:00:00,24.8,1011.27,991.57,22.1,26.60,0.00,10.00,0.00,5.6,300
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,88,10-04-2019,22:00:00,26.1,1011.41,994.55,23.9,29.68,0.00,10.00,0.01,0.0,000
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,92,10-04-2019,22:00:00,25.8,1011.59,994.05,24.3,30.46,0.00,10.00,0.50,0.0,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,96,10-04-2019,22:00:00,24.2,1011.00,984.90,23.5,28.88,0.00,9.00,6.20,0.0,000
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,97,10-04-2019,22:00:00,24.7,1012.77,1006.91,24.3,30.30,1.70,10.00,1.70,3.7,270
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,89,10-04-2019,22:00:00,25.8,1012.28,1006.03,23.9,29.66,0.00,8.00,0.00,0.0,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,79,10-04-2019,22:00:00,26.2,1012.28,995.71,22.2,26.72,0.00,8.00,0.00,0.0,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,89,10-04-2019,22:00:00,25.0,1010.27,987.74,23.1,28.22,0.00,8.00,0.30,3.7,070
48376,TAK,ตาก,ตาก,16.87833,99.14333,82,10-04-2019,22:00:00,25.6,1013.08,998.54,22.3,26.96,0.00,6.00,0.00,14.8,050
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,96,10-04-2019,22:00:00,23.2,1013.78,997.08,22.6,27.41,6.50,7.00,6.50,0.0,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,75,10-04-2019,22:00:00,27.3,1011.68,1006.44,22.4,27.11,0.00,7.00,0.00,13.0,270
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,82,10-04-2019,22:00:00,26.6,1010.49,997.23,23.2,28.47,0.00,8.00,0.00,0.0,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,97,10-04-2019,22:00:00,25.0,1011.56,1002.14,24.6,30.85,21.60,.40,22.60,7.4,340
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,91,10-04-2019,22:00:00,25.1,1011.57,989.65,23.5,28.92,0.00,9.00,6.00,7.4,270
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,83,10-04-2019,22:00:00,25.6,1010.55,992.91,22.5,27.21,0.00,12.00,0.00,0.0,000
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,91,10-04-2019,22:00:00,25.3,1010.42,994.45,23.7,29.28,0.00,10.00,0.00,0.0,000
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,96,10-04-2019,22:00:00,24.5,1010.84,991.73,23.8,29.41,0.00,7.00,40.10,0.0,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,90,10-04-2019,22:00:00,23.2,1014.15,962.15,21.5,25.68,0.00,7.00,0.00,0.0,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,79,10-04-2019,22:00:00,26.1,1010.94,1006.95,22.2,26.80,0.00,3.00,0.00,0.0,000
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,93,10-04-2019,22:00:00,21.4,1012.65,917.00,20.2,23.59,0.00,7.00,0.00,5.6,340
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,95,10-04-2019,22:00:00,24.7,1011.42,995.24,23.8,29.51,0.00,7.00,8.10,0.0,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,78,10-04-2019,22:00:00,28.8,1011.17,1007.14,24.5,30.73,0.00,9.00,0.00,5.6,130
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,80,10-04-2019,22:00:00,27.5,1012.14,1001.43,23.7,29.33,0.00,6.00,0.00,0.0,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,78,10-04-2019,22:00:00,28.5,1011.66,1009.73,24.2,30.15,0.00,9.00,0.00,9.3,210
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,80,10-04-2019,22:00:00,25.8,1011.77,990.73,22.1,26.54,0.00,10.00,0.00,0.0,000
