WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,Rainfall,DewPoint,WindDirection,StationPressure,WindSpeed,VaporPressure,Rainfall24Hr,RelativeHumidity,LandVisibility,MeanSeaLevelPressure,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,10-05-2019,04:00:00,4.10,21.8,000,979.03,0.0,26.09,5.50,93,6.00,1010.35,23.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,10-05-2019,04:00:00,0.00,16.9,140,845.36,11.1,19.19,0.00,98,8.00,1007.50,17.2
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10-05-2019,04:00:00,0.00,21.0,000,966.26,0.0,24.80,0.01,91,10.00,1010.48,22.5
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,10-05-2019,04:00:00,0.00,20.7,000,964.29,0.0,24.43,0.60,94,10.00,1010.55,21.8
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,10-05-2019,04:00:00,0.00,22.5,000,972.66,0.0,27.24,0.40,100,6.00,1010.84,22.5
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,10-05-2019,04:00:00,0.00,21.7,000,965.20,0.0,26.01,0.20,95,7.00,1010.92,22.5
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,10-05-2019,04:00:00,0.00,21.5,000,985.00,0.0,25.61,0.00,95,4.00,1012.19,22.4
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,10-05-2019,04:00:00,7.00,21.9,000,988.12,0.0,26.25,34.80,98,3.00,1010.24,22.2
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,10-05-2019,04:00:00,0.00,22.8,000,985.83,0.0,27.66,6.60,96,6.00,1010.23,23.5
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10-05-2019,04:00:00,0.00,21.8,000,976.31,0.0,26.17,40.70,90,10.00,1011.25,23.5
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10-05-2019,04:00:00,0.00,22.3,000,982.98,0.0,26.99,40.00,97,10.00,1010.93,22.8
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10-05-2019,04:00:00,0.00,22.1,000,976.79,0.0,26.58,3.90,93,8.00,1010.79,23.3
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,10-05-2019,04:00:00,0.00,22.8,000,991.68,0.0,27.66,3.90,96,3.00,1010.43,23.5
48331,NAN,น่าน,น่าน,18.77972,100.77778,10-05-2019,04:00:00,0.00,22.2,000,987.56,0.0,26.83,19.30,96,10.00,1010.72,23.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,10-05-2019,04:00:00,0.00,21.2,000,980.69,0.0,25.14,1.20,96,7.00,1011.14,21.8
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,10-05-2019,04:00:00,0.00,22.1,000,974.61,0.0,26.58,29.20,98,7.00,1010.68,22.4
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,10-05-2019,04:00:00,0.00,21.3,000,979.60,0.0,25.38,0.50,97,1.00,1009.84,21.8
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,10-05-2019,04:00:00,0.00,22.6,000,1002.41,0.0,27.42,7.90,93,7.00,1009.81,23.8
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,10-05-2019,04:00:00,0.00,23.5,000,989.78,0.0,28.88,0.00,96,3.00,1009.91,24.2
48353,LOEI,เลย,เลย,17.45000,101.73333,10-05-2019,04:00:00,0.00,21.9,000,980.94,0.0,26.25,1.20,96,4.00,1010.07,22.5
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,10-05-2019,04:00:00,0.00,22.4,000,990.00,0.0,27.08,6.10,95,5.00,1010.48,23.3
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,10-05-2019,04:00:00,0.00,21.5,000,988.73,0.0,25.60,0.00,91,10.00,1010.82,23.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,10-05-2019,04:00:00,0.00,22.3,280,990.53,3.7,26.91,0.00,93,10.00,1010.30,23.5
