WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,AirTemperature,Rainfall24Hr,MinimumTemperature,LandVisibility,WindDirection,DewPoint,StationPressure,WindSpeed,VaporPressure,Rainfall,MeanSeaLevelPressure
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,99,10-05-2019,07:00:00,16.7,0.00,16.6,7.00,140,16.5,847.49,5.6,18.79,0.00,1010.34
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,94,10-05-2019,07:00:00,22.3,0.01,21.5,3.00,000,21.2,967.47,0.0,25.21,0.00,1011.78
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,95,10-05-2019,07:00:00,22.5,0.60,20.7,10.00,000,21.7,965.72,0.0,26.01,0.00,1011.93
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,100,10-05-2019,07:00:00,22.2,0.40,21.8,8.00,000,22.2,974.33,0.0,26.74,0.00,1012.62
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,90,10-05-2019,07:00:00,22.4,0.20,22.0,5.00,060,20.7,966.48,5.6,24.41,0.00,1012.27
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,95,10-05-2019,07:00:00,22.4,0.00,22.1,4.00,000,21.5,985.75,0.0,25.61,0.00,1012.96
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,98,10-05-2019,07:00:00,21.5,34.80,21.5,12.00,000,21.2,989.56,0.0,25.15,0.00,1011.77
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,95,10-05-2019,07:00:00,23.8,6.60,21.5,5.00,000,22.9,987.12,0.0,27.92,0.00,1011.53
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,88,10-05-2019,07:00:00,23.8,40.70,23.2,10.00,000,21.7,976.57,0.0,25.92,0.00,1011.49
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,97,10-05-2019,07:00:00,22.8,40.00,22.2,8.00,000,22.3,984.11,0.0,26.99,0.00,1012.10
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,96,10-05-2019,07:00:00,23.0,3.90,22.9,6.00,000,22.2,977.55,0.0,26.83,0.00,1011.61
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,95,10-05-2019,07:00:00,23.5,3.90,23.1,2.00,000,22.6,992.38,0.0,27.41,0.00,1011.15
48331,NAN,น่าน,น่าน,18.77972,100.77778,96,10-05-2019,07:00:00,22.7,19.30,22.4,10.00,000,21.9,988.82,0.0,26.33,0.00,1012.04
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,96,10-05-2019,07:00:00,21.6,1.20,21.4,.70,000,21.0,982.08,0.0,24.83,0.00,1012.60
