WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall,VaporPressure,RelativeHumidity,WindDirection,DewPoint,StationPressure,Rainfall24Hr,LandVisibility,WindSpeed,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,24.1,10-05-2019,10:00:00,0.00,28.70,96,000,23.4,982.08,5.50,10.00,0.0,1013.39
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.9,10-05-2019,10:00:00,0.00,20.95,96,000,18.2,849.47,0.00,8.00,0.0,1011.38
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,26.5,10-05-2019,10:00:00,0.00,25.20,73,360,21.2,969.56,0.01,10.00,1.9,1013.33
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,25.8,10-05-2019,10:00:00,0.00,27.30,82,140,22.5,967.75,0.60,15.00,9.3,1013.54
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,25.2,10-05-2019,10:00:00,0.00,28.83,90,150,23.4,976.27,0.40,10.00,3.7,1014.24
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,25.8,10-05-2019,10:00:00,0.00,27.05,81,000,22.4,968.49,0.20,8.00,0.0,1013.84
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,25.3,10-05-2019,10:00:00,0.00,27.20,84,010,22.5,987.55,0.00,6.00,3.7,1014.55
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,27.0,10-05-2019,10:00:00,0.00,27.36,77,170,22.6,991.94,34.80,12.00,1.9,1013.80
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,27.5,10-05-2019,10:00:00,0.00,26.95,73,000,22.3,988.94,6.60,8.00,0.0,1013.09
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,27.3,10-05-2019,10:00:00,0.00,27.11,75,000,22.4,978.86,40.70,10.00,0.0,1013.45
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,27.0,10-05-2019,10:00:00,0.00,27.36,77,000,22.6,986.62,40.00,10.00,0.0,1014.28
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,26.2,10-05-2019,10:00:00,0.00,27.49,81,000,22.6,980.17,3.90,8.00,0.0,1013.95
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,28.1,10-05-2019,10:00:00,0.00,28.84,76,000,23.4,994.97,3.90,4.00,0.0,1013.50
48331,NAN,น่าน,น่าน,18.77972,100.77778,24.8,10-05-2019,10:00:00,0.00,26.60,85,000,22.1,991.11,19.30,10.00,0.0,1014.22
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,25.4,10-05-2019,10:00:00,0.00,26.11,81,000,21.8,983.93,1.20,10.00,0.0,1014.11
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,24.5,10-05-2019,10:00:00,0.00,25.60,83,000,21.5,978.42,29.20,8.00,0.0,1014.37
