WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,RelativeHumidity,StationPressure,MaximumTemperature,AirTemperature,VaporPressure,Rainfall,MeanSeaLevelPressure,WindSpeed,WindDirection,DewPoint,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,6.00,10-05-2019,19:00:00,84,978.19,32.0,26.2,28.54,0.40,1009.15,0.0,000,23.3,6.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,8.00,10-05-2019,19:00:00,97,847.37,23.2,19.2,21.57,0.00,1008.70,5.6,180,18.7,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10.00,10-05-2019,19:00:00,68,965.80,31.7,28.6,26.57,0.00,1009.09,0.0,000,22.1,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,15.00,10-05-2019,19:00:00,71,963.78,32.0,27.0,25.30,0.00,1009.20,0.0,000,21.3,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,8.00,10-05-2019,19:00:00,80,971.83,32.0,27.0,28.41,0.00,1009.39,0.0,000,23.2,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,10.00,10-05-2019,19:00:00,80,964.65,31.0,28.2,30.40,0.00,1009.46,0.0,000,24.3,0.10
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,8.00,10-05-2019,19:00:00,82,983.61,32.2,28.9,32.63,0.00,1010.17,0.0,000,25.5,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,12.00,10-05-2019,19:00:00,82,987.80,32.4,26.7,28.65,0.00,1009.59,9.3,080,23.3,30.80
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,8.00,10-05-2019,19:00:00,83,985.46,33.5,26.1,28.10,0.00,1009.64,0.0,000,23.0,1.20
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,10-05-2019,19:00:00,69,974.98,32.2,28.8,27.46,0.00,1009.26,0.0,000,22.6,0.50
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10.00,10-05-2019,19:00:00,83,982.30,32.3,27.7,30.81,0.00,1009.77,0.0,000,24.5,8.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10.00,10-05-2019,19:00:00,73,975.83,32.2,27.4,26.51,0.00,1009.32,0.0,000,22.0,0.30
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,6.00,10-05-2019,19:00:00,85,991.10,33.4,26.0,28.44,0.00,1009.69,1.9,210,23.2,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,10.00,10-05-2019,19:00:00,78,986.74,32.4,28.8,30.73,0.00,1009.44,0.0,000,24.5,0.10
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,10.00,10-05-2019,19:00:00,84,980.02,31.0,27.0,30.02,0.00,1009.92,0.0,000,24.1,0.01
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,8.00,10-05-2019,19:00:00,77,973.46,30.5,28.0,29.19,0.00,1008.81,0.0,000,23.6,4.80
