WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,VaporPressure,MeanSeaLevelPressure,LandVisibility,AirTemperature,RelativeHumidity,Rainfall,DewPoint,StationPressure,Rainfall24Hr,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,10-07-2019,22:00:00,29.44,1012.32,10.00,25.1,92,0.00,23.8,981.15,0.00,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,11.1,10-07-2019,22:00:00,22.19,1013.21,8.00,20.6,92,0.00,19.2,851.84,0.00,200
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.0,10-07-2019,22:00:00,26.01,1012.85,10.00,24.6,84,0.00,21.7,968.83,0.00,000
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,10-07-2019,22:00:00,26.50,1012.87,12.00,24.0,89,0.00,22.0,966.84,0.00,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,10-07-2019,22:00:00,26.84,1012.64,6.00,24.5,87,0.00,22.3,974.65,0.00,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.0,10-07-2019,22:00:00,26.66,1013.23,8.00,23.2,94,0.00,22.1,967.52,0.00,000
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.0,10-07-2019,22:00:00,27.00,1013.28,7.00,23.7,92,0.00,22.3,986.18,4.60,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,5.6,10-07-2019,22:00:00,28.97,1012.70,12.00,24.4,95,0.00,23.5,990.68,3.00,080
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,10-07-2019,22:00:00,29.00,1012.48,8.00,25.0,92,0.00,23.5,988.14,0.00,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.0,10-07-2019,22:00:00,27.85,1012.97,10.00,26.4,81,0.00,22.9,978.30,0.01,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,10-07-2019,22:00:00,29.58,1014.18,10.00,25.9,89,0.00,23.9,986.42,0.00,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,10-07-2019,22:00:00,29.50,1012.46,10.00,26.0,88,0.00,23.8,978.71,0.00,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1.9,10-07-2019,22:00:00,29.50,1012.42,5.00,26.0,88,0.00,23.8,993.78,0.00,180
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,10-07-2019,22:00:00,30.16,1012.50,10.00,26.5,87,0.00,24.2,989.57,0.00,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,10-07-2019,22:00:00,26.93,1012.75,8.00,24.4,88,0.00,22.3,982.51,0.00,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,10-07-2019,22:00:00,27.09,1013.17,6.00,24.2,90,0.00,22.4,977.22,0.60,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.0,10-07-2019,22:00:00,24.64,1012.52,8.00,22.7,89,0.00,20.9,982.29,0.00,000
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,10-07-2019,22:00:00,30.48,1012.05,9.00,28.1,80,0.00,24.4,1004.74,0.00,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.0,10-07-2019,22:00:00,30.84,1012.00,7.00,28.0,82,0.00,24.6,992.09,5.80,000
48353,LOEI,เลย,เลย,17.45000,101.73333,0.0,10-07-2019,22:00:00,25.68,1012.93,10.00,24.4,84,0.00,21.5,983.90,0.00,000
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.0,10-07-2019,22:00:00,27.77,1012.08,12.00,26.5,80,0.00,22.8,991.79,0.00,000
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.0,10-07-2019,22:00:00,27.09,1012.77,10.00,24.2,90,0.00,22.4,990.73,0.00,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.0,10-07-2019,22:00:00,25.69,1012.40,12.00,25.3,80,0.00,21.5,992.71,0.10,000
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.0,10-07-2019,22:00:00,28.82,1012.63,10.00,24.9,92,0.00,23.4,995.68,2.00,000
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,10-07-2019,22:00:00,24.50,1013.10,10.00,22.0,93,0.00,20.8,995.30,20.20,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.0,10-07-2019,22:00:00,29.76,1012.36,10.00,26.0,89,0.00,24.0,986.38,0.00,000
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,3.7,10-07-2019,22:00:00,30.86,1011.68,7.00,26.3,90,0.00,24.6,1005.85,0.00,020
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.0,10-07-2019,22:00:00,30.43,1011.81,7.00,26.5,88,0.00,24.3,1005.58,0.00,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,10-07-2019,22:00:00,25.20,1012.93,10.00,26.5,73,0.00,21.2,996.37,0.00,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,5.6,10-07-2019,22:00:00,25.76,1010.77,10.00,24.3,85,0.00,21.6,988.17,0.00,090
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.0,10-07-2019,22:00:00,30.11,1012.97,7.00,25.9,90,0.00,24.2,998.45,0.00,000
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,10-07-2019,22:00:00,29.16,1012.85,7.00,24.8,93,0.00,23.6,996.25,0.00,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.0,10-07-2019,22:00:00,28.97,1012.85,10.00,26.0,86,0.00,23.5,1007.57,1.00,000
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,10-07-2019,22:00:00,28.96,1011.24,10.00,27.3,80,0.00,23.5,998.00,0.00,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.0,10-07-2019,22:00:00,30.70,1012.13,10.00,26.5,89,0.00,24.5,1002.74,5.70,000
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.0,10-07-2019,22:00:00,29.85,1011.95,8.00,27.2,83,0.00,24.0,990.18,0.00,000
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.0,10-07-2019,22:00:00,29.60,1011.45,12.00,27.5,81,0.00,23.9,993.91,0.00,000
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.0,10-07-2019,22:00:00,27.70,1011.77,10.00,25.0,88,0.60,22.8,995.75,0.60,000
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.0,10-07-2019,22:00:00,29.41,1011.15,8.00,26.1,87,0.00,23.8,992.14,0.01,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,10-07-2019,22:00:00,23.87,1014.61,7.00,22.2,89,0.00,20.3,962.41,0.00,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,11.1,10-07-2019,22:00:00,25.51,1013.00,5.00,24.0,86,0.00,21.4,1008.98,0.00,140
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.0,10-07-2019,22:00:00,21.54,1013.95,4.00,19.5,95,0.00,18.7,917.59,2.30,000
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.0,10-07-2019,22:00:00,28.82,1012.34,8.00,24.9,92,1.10,23.4,996.16,1.10,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,3.7,10-07-2019,22:00:00,28.55,1013.07,8.00,24.6,92,6.40,23.3,1008.98,6.70,070
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.0,10-07-2019,22:00:00,29.74,1012.97,5.00,25.7,90,0.00,23.9,1002.19,0.00,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.0,10-07-2019,22:00:00,30.22,1012.58,8.00,26.1,89,0.00,24.2,1010.64,0.30,000
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,5.6,10-07-2019,22:00:00,29.42,1012.06,10.00,27.4,81,0.00,23.8,991.13,4.40,170
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,3.7,10-07-2019,22:00:00,27.13,1011.79,10.00,25.7,82,0.00,22.4,993.97,33.80,050
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.0,10-07-2019,22:00:00,26.64,1011.67,10.00,26.3,78,0.00,22.1,995.40,13.70,000
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,3.7,10-07-2019,22:00:00,28.92,1012.22,10.00,26.7,83,0.00,23.5,998.10,0.00,310
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,10-07-2019,22:00:00,29.50,1012.62,8.00,26.0,88,0.00,23.8,997.66,0.00,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.0,10-07-2019,22:00:00,31.49,1012.67,6.00,25.2,98,0.00,24.9,997.83,5.40,000
