WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,WindDirection,StationPressure,Rainfall24Hr,MeanSeaLevelPressure,VaporPressure,AirTemperature,WindSpeed,DewPoint,RelativeHumidity,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,10-08-2019,01:00:00,000,980.89,0.00,1012.19,27.42,23.8,0.0,22.6,93,8.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,10-08-2019,01:00:00,200,849.70,0.00,1010.77,21.91,20.4,9.3,19.0,92,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,10-08-2019,01:00:00,360,968.31,0.00,1012.49,25.76,23.4,3.7,21.6,90,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,10-08-2019,01:00:00,000,966.34,0.00,1012.52,26.17,22.9,0.0,21.8,94,10.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,10-08-2019,01:00:00,000,973.36,0.00,1011.43,27.66,23.5,0.0,22.8,96,4.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,10-08-2019,01:00:00,000,986.14,4.60,1013.33,26.50,22.8,0.0,22.0,96,6.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,10-08-2019,01:00:00,080,990.05,3.00,1012.09,29.04,24.0,5.6,23.6,97,12.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,10-08-2019,01:00:00,000,987.15,0.00,1011.54,28.53,24.0,0.0,23.3,96,6.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,10-08-2019,01:00:00,000,977.87,0.01,1012.67,27.62,25.1,0.0,22.7,87,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,10-08-2019,01:00:00,000,985.60,0.00,1013.47,28.20,24.4,0.0,23.1,92,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,10-08-2019,01:00:00,000,978.92,0.00,1012.86,28.11,24.5,0.0,23.0,91,8.00
