WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,RelativeHumidity,DewPoint,AirTemperature,Rainfall,MeanSeaLevelPressure,LandVisibility,StationPressure,WindSpeed,WindDirection,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,10-08-2019,04:00:00,94,22.6,23.6,0.00,1011.79,6.00,980.48,0.0,000,27.33
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,10-08-2019,04:00:00,96,19.2,19.8,0.00,1010.04,8.00,848.79,9.3,200,22.18
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,10-08-2019,04:00:00,91,21.0,22.5,0.00,1012.09,8.00,967.80,0.0,000,24.80
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,10-08-2019,04:00:00,95,21.2,22.0,0.00,1012.57,10.00,966.25,0.0,000,25.21
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,10-08-2019,04:00:00,96,21.4,22.0,0.00,1010.77,4.00,972.53,0.0,000,25.45
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,10-08-2019,04:00:00,95,20.9,21.7,0.00,1012.53,6.00,966.62,0.0,000,24.75
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,4.60,10-08-2019,04:00:00,95,21.7,22.5,0.00,1012.61,5.00,985.42,0.0,000,26.01
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,3.00,10-08-2019,04:00:00,97,22.2,22.7,0.00,1011.44,10.00,989.32,3.7,090,26.82
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,10-08-2019,04:00:00,96,23.3,24.0,0.00,1011.13,5.00,986.75,0.0,000,28.53
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.01,10-08-2019,04:00:00,88,21.8,23.9,0.00,1011.72,10.00,976.80,0.0,000,26.09
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,10-08-2019,04:00:00,96,22.2,23.0,0.00,1011.46,10.00,983.51,0.0,000,26.83
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,10-08-2019,04:00:00,95,22.3,23.2,0.00,1011.88,7.00,977.83,0.0,000,26.91
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,10-08-2019,04:00:00,95,22.2,23.1,0.00,1010.88,3.00,992.09,5.6,170,26.74
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,10-08-2019,04:00:00,92,21.7,23.1,0.00,1011.76,10.00,988.58,0.0,000,26.01
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,10-08-2019,04:00:00,94,20.7,21.6,0.00,1011.98,6.00,981.48,0.0,000,24.36
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.60,10-08-2019,04:00:00,95,21.7,22.5,0.00,1011.70,4.00,975.60,0.0,000,26.01
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,10-08-2019,04:00:00,98,20.9,21.2,0.00,1010.83,4.00,980.50,0.0,000,24.68
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,10-08-2019,04:00:00,91,23.4,25.0,0.00,1010.42,8.00,1003.05,0.0,000,28.74
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,10-08-2019,04:00:00,88,23.3,25.4,0.00,1010.76,6.00,990.70,0.0,000,28.67
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,10-08-2019,04:00:00,91,20.5,22.0,0.00,1011.33,4.00,982.11,0.0,000,24.03
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,10-08-2019,04:00:00,92,23.0,24.3,0.00,1010.74,10.00,990.33,0.0,000,28.02
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,10-08-2019,04:00:00,91,21.5,23.0,0.00,1010.80,10.00,988.72,0.0,000,25.60
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.10,10-08-2019,04:00:00,88,21.9,24.0,0.00,1010.50,10.00,990.76,0.0,000,26.25
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,2.00,10-08-2019,04:00:00,93,22.3,23.5,0.00,1011.13,10.00,994.12,0.0,000,26.91
