WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,VaporPressure,DewPoint,LandVisibility,AirTemperature,Rainfall24Hr,WindDirection,StationPressure,MeanSeaLevelPressure,RelativeHumidity,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,10-08-2019,10:00:00,26.73,22.2,10.00,26.5,0.00,000,983.25,1014.34,77,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,10-08-2019,10:00:00,23.44,20.0,8.00,21.3,0.00,180,852.48,1013.56,93,9.3
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,10-08-2019,10:00:00,25.88,21.7,10.00,28.8,0.00,070,971.05,1014.55,65,9.3
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,10-08-2019,10:00:00,26.71,22.2,15.00,28.1,0.00,000,968.81,1014.29,70,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,10-08-2019,10:00:00,27.44,22.6,10.00,28.5,0.00,000,976.43,1013.98,71,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,10-08-2019,10:00:00,27.85,22.9,8.00,28.0,0.00,310,969.28,1014.34,74,7.4
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,10-08-2019,10:00:00,27.44,22.6,10.00,28.5,4.60,000,987.95,1014.66,71,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,10-08-2019,10:00:00,27.36,22.6,10.00,28.6,4.70,300,992.34,1014.08,70,3.7
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,10-08-2019,10:00:00,27.52,22.7,10.00,26.8,0.00,000,990.39,1014.63,78,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,10-08-2019,10:00:00,25.14,21.2,12.00,29.7,0.01,330,979.89,1014.23,60,3.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,10-08-2019,10:00:00,29.90,24.0,10.00,28.8,0.00,160,986.77,1014.27,76,3.7
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,10-08-2019,10:00:00,28.78,23.4,15.00,28.5,0.00,000,980.60,1014.13,74,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,10-08-2019,10:00:00,29.87,24.0,3.00,28.5,0.00,060,995.13,1013.63,77,1.9
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,10-08-2019,10:00:00,26.91,22.3,10.00,28.5,0.00,000,991.49,1014.32,69,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,10-08-2019,10:00:00,25.24,21.3,12.00,28.0,0.00,090,984.26,1014.19,67,5.6
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,10-08-2019,10:00:00,29.03,23.5,6.00,28.2,0.60,000,978.58,1014.09,76,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,10-08-2019,10:00:00,27.71,22.8,10.00,29.8,0.00,290,983.75,1013.31,66,3.7
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,10-08-2019,10:00:00,28.34,23.1,9.00,30.7,0.00,000,1005.93,1013.19,64,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,10-08-2019,10:00:00,27.68,22.8,7.00,31.5,0.00,240,993.66,1013.38,60,5.6
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,10-08-2019,10:00:00,24.69,20.9,7.00,29.3,0.00,330,985.36,1013.95,61,5.6
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,10-08-2019,10:00:00,27.19,22.5,14.00,31.1,0.00,170,994.06,1014.09,60,3.7
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,10-08-2019,10:00:00,27.12,22.4,9.00,30.2,0.00,000,991.89,1013.52,63,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,10-08-2019,10:00:00,26.87,22.3,10.00,30.5,0.10,040,993.64,1013.00,62,3.7
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,10-08-2019,10:00:00,26.73,22.2,10.00,31.0,2.00,090,996.62,1013.24,60,5.6
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,10-08-2019,10:00:00,26.62,22.1,10.00,29.5,20.20,000,996.51,1013.88,65,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,10-08-2019,10:00:00,27.14,22.4,9.00,30.5,0.00,210,986.66,1012.26,62,3.7
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,10-08-2019,10:00:00,33.81,26.1,8.00,31.0,0.00,330,1007.82,1013.57,75,9.3
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,10-08-2019,10:00:00,30.74,24.5,12.00,30.5,0.00,000,1007.65,1013.81,70,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,10-08-2019,10:00:00,26.56,22.1,12.00,31.2,0.00,000,997.40,1013.72,58,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,10-08-2019,10:00:00,27.85,22.9,10.00,28.0,0.00,330,989.39,1011.74,74,3.7
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,10-08-2019,10:00:00,28.24,23.1,10.00,28.5,0.60,000,1000.15,1014.57,73,0.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,10-08-2019,10:00:00,28.91,23.5,12.00,30.0,0.00,000,997.89,1014.22,68,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,10-08-2019,10:00:00,27.96,22.9,10.00,29.5,1.00,030,1008.64,1013.86,68,7.4
