WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,RelativeHumidity,DewPoint,StationPressure,LandVisibility,Rainfall24Hr,VaporPressure,MeanSeaLevelPressure,WindDirection,WindSpeed,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,31.5,10-08-2019,13:00:00,63,23.6,980.67,12.00,0.00,29.07,1011.16,000,0.0,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,22.5,10-08-2019,13:00:00,87,20.2,851.81,8.00,0.00,23.62,1012.07,000,0.0,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,32.5,10-08-2019,13:00:00,44,18.7,968.71,10.00,0.00,21.55,1011.57,040,1.9,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,32.6,10-08-2019,13:00:00,53,21.7,966.53,15.00,0.00,25.95,1011.23,000,0.0,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,33.5,10-08-2019,13:00:00,55,23.3,973.82,12.00,0.00,28.56,1010.64,000,0.0,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,31.0,10-08-2019,13:00:00,63,23.2,966.90,10.00,0.00,28.37,1011.39,250,5.6,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,32.9,10-08-2019,13:00:00,58,23.4,985.16,12.00,4.60,28.77,1011.41,150,5.6,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,30.8,10-08-2019,13:00:00,75,25.7,990.23,10.00,4.90,33.09,1011.78,310,1.9,0.20
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,33.4,10-08-2019,13:00:00,53,22.7,986.48,10.00,0.00,27.51,1010.10,000,0.0,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,33.0,10-08-2019,13:00:00,49,20.8,977.40,12.00,0.01,24.55,1011.28,160,3.7,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,32.7,10-08-2019,13:00:00,58,23.5,984.40,10.00,0.00,28.93,1011.48,000,0.0,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,32.0,10-08-2019,13:00:00,56,22.0,978.34,15.00,0.00,26.45,1011.41,000,0.0,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,33.2,10-08-2019,13:00:00,52,21.9,992.35,8.00,0.00,26.28,1010.52,290,3.7,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,33.0,10-08-2019,13:00:00,53,22.0,988.67,10.00,0.00,26.45,1011.10,260,7.4,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,32.5,10-08-2019,13:00:00,50,20.7,981.64,12.00,0.00,24.42,1011.05,000,0.0,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,31.5,10-08-2019,13:00:00,55,21.4,976.84,8.00,0.60,25.51,1011.90,000,0.0,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,33.2,10-08-2019,13:00:00,54,22.6,980.91,10.00,0.00,27.39,1010.05,150,3.7,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,34.0,10-08-2019,13:00:00,46,20.6,1003.40,9.00,0.00,24.26,1010.57,000,0.0,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,33.5,10-08-2019,13:00:00,53,22.6,990.97,8.00,0.00,27.43,1010.50,300,3.7,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,32.5,10-08-2019,13:00:00,49,20.5,982.62,12.00,0.00,24.16,1010.83,090,3.7,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,33.2,10-08-2019,13:00:00,50,21.2,991.04,14.00,0.00,25.19,1010.87,120,3.7,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,32.0,10-08-2019,13:00:00,54,21.7,989.44,12.00,0.00,25.91,1010.88,080,9.3,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,32.7,10-08-2019,13:00:00,55,22.3,991.13,12.00,0.10,26.97,1010.31,080,3.7,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,32.2,10-08-2019,13:00:00,59,23.2,994.25,12.00,2.00,28.50,1010.76,000,0.0,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,32.0,10-08-2019,13:00:00,60,23.3,995.11,9.00,20.20,28.66,1012.31,000,0.0,0.01
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,32.0,10-08-2019,13:00:00,49,19.9,984.43,9.00,0.00,23.25,1009.84,000,0.0,0.00
