WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall24Hr,DewPoint,WindSpeed,RelativeHumidity,AirTemperature,WindDirection,MeanSeaLevelPressure,Rainfall,LandVisibility,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,979.65,10-09-2019,13:00:00,3.10,22.0,0.0,59,31.0,000,1010.16,0.00,12.00,26.46
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,848.86,10-09-2019,13:00:00,0.00,18.0,0.0,78,22.0,000,1008.85,0.00,8.00,20.60
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,967.26,10-09-2019,13:00:00,0.00,20.5,0.0,49,32.5,000,1010.05,0.00,12.00,24.16
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,965.26,10-09-2019,13:00:00,0.00,20.8,0.0,52,32.0,000,1009.99,0.00,15.00,24.57
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,973.35,10-09-2019,13:00:00,0.00,23.7,0.0,58,33.0,000,1010.22,0.00,12.00,29.25
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,967.59,10-09-2019,13:00:00,0.00,23.7,0.0,64,31.3,000,1012.07,0.00,10.00,29.24
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,984.94,10-09-2019,13:00:00,0.00,23.1,3.7,58,32.5,090,1011.23,0.00,12.00,28.25
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,988.71,10-09-2019,13:00:00,0.80,23.2,1.9,58,32.6,170,1010.09,0.00,10.00,28.45
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,986.16,10-09-2019,13:00:00,0.00,22.4,0.0,55,32.5,000,1009.84,0.00,10.00,27.13
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,976.47,10-09-2019,13:00:00,0.00,21.1,3.7,50,33.0,150,1010.32,0.00,12.00,25.08
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,983.18,10-09-2019,13:00:00,6.30,23.8,0.0,60,32.7,000,1010.22,0.00,10.00,29.50
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,977.09,10-09-2019,13:00:00,0.00,23.1,0.0,58,32.4,000,1010.07,0.00,12.00,28.33
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,991.76,10-09-2019,13:00:00,0.00,22.7,5.6,53,33.6,150,1009.89,0.00,7.00,27.62
48331,NAN,น่าน,น่าน,18.77972,100.77778,988.14,10-09-2019,13:00:00,0.00,22.4,7.4,55,32.6,110,1010.58,0.00,10.00,27.05
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,983.10,10-09-2019,13:00:00,0.00,22.8,0.0,57,32.4,000,1012.56,0.00,12.00,27.77
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,975.47,10-09-2019,13:00:00,0.00,23.1,0.0,64,30.8,000,1010.57,0.00,8.00,28.26
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,980.64,10-09-2019,13:00:00,0.10,23.8,5.6,62,32.1,010,1009.88,0.00,17.00,29.42
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1002.79,10-09-2019,13:00:00,7.70,22.1,0.0,49,34.5,000,1009.94,0.00,9.00,26.60
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,991.01,10-09-2019,13:00:00,10.40,22.7,7.4,56,32.6,160,1010.60,0.00,8.00,27.61
48353,LOEI,เลย,เลย,17.45000,101.73333,982.14,10-09-2019,13:00:00,0.00,21.9,5.6,58,31.2,020,1010.46,0.00,15.00,26.29
