WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall,WindDirection,MeanSeaLevelPressure,StationPressure,VaporPressure,LandVisibility,WindSpeed,Rainfall24Hr,RelativeHumidity,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,32.4,10-09-2019,16:00:00,0.00,000,1006.57,976.30,29.18,15.00,0.0,0.00,60,23.6
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.8,10-09-2019,16:00:00,0.00,120,1007.30,846.49,21.08,8.00,7.4,0.00,91,18.3
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,33.5,10-09-2019,16:00:00,0.00,080,1006.69,964.18,20.73,12.00,1.9,0.00,40,18.1
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,32.2,10-09-2019,16:00:00,0.00,000,1007.02,962.46,27.11,15.00,0.0,0.00,56,22.4
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,33.0,10-09-2019,16:00:00,0.00,000,1007.61,970.84,29.25,12.00,0.0,0.00,58,23.7
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,32.3,10-09-2019,16:00:00,0.00,180,1006.82,962.71,27.02,10.00,9.3,0.00,56,22.4
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,34.5,10-09-2019,16:00:00,0.00,000,1008.06,982.03,28.02,12.00,0.0,0.00,51,23.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,32.9,10-09-2019,16:00:00,0.00,080,1007.60,986.29,28.77,7.00,22.2,0.00,58,23.4
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,33.0,10-09-2019,16:00:00,0.00,000,1006.74,983.17,32.16,10.00,0.0,0.00,64,25.3
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,34.0,10-09-2019,16:00:00,0.00,150,1007.65,973.99,26.46,12.00,7.4,0.00,50,22.0
