WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,DewPoint,WindSpeed,VaporPressure,WindDirection,Rainfall24Hr,MeanSeaLevelPressure,Rainfall,RelativeHumidity,LandVisibility,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,980.66,10-09-2019,22:00:00,21.7,0.0,26.02,000,0.00,1011.77,0.00,80,10.00,25.5
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,849.58,10-09-2019,22:00:00,17.3,7.4,19.72,130,0.00,1011.40,0.00,89,8.00,19.1
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,967.88,10-09-2019,22:00:00,22.1,0.0,26.63,000,0.00,1011.65,0.00,79,10.00,26.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,966.16,10-09-2019,22:00:00,21.8,0.0,26.09,000,0.00,1012.08,0.00,85,12.00,24.5
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,974.68,10-09-2019,22:00:00,23.0,0.0,28.11,000,0.00,1012.67,0.00,91,7.00,24.5
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,966.82,10-09-2019,22:00:00,23.4,0.0,28.85,000,0.00,1012.14,0.00,88,10.00,25.5
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,985.94,10-09-2019,22:00:00,22.9,0.0,27.97,000,0.00,1012.89,0.00,87,7.00,25.3
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,990.22,10-09-2019,22:00:00,24.2,0.0,30.13,000,1.40,1012.19,0.00,96,10.00,24.9
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,989.11,10-09-2019,22:00:00,22.2,0.0,26.83,000,3.30,1013.61,1.90,94,6.00,23.3
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,977.50,10-09-2019,22:00:00,23.3,0.0,28.55,000,0.00,1011.98,0.00,76,10.00,27.8
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,986.25,10-09-2019,22:00:00,24.6,0.0,30.84,000,0.60,1013.99,0.00,92,10.00,26.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,978.00,10-09-2019,22:00:00,24.1,0.0,30.10,000,0.00,1011.62,0.00,85,10.00,26.9
48331,NAN,น่าน,น่าน,18.77972,100.77778,989.12,10-09-2019,22:00:00,23.7,0.0,29.35,000,0.00,1012.05,0.00,85,10.00,26.5
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,982.14,10-09-2019,22:00:00,23.9,0.0,29.66,000,0.00,1012.23,0.00,89,8.00,25.8
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,976.03,10-09-2019,22:00:00,24.6,0.0,30.84,000,0.00,1011.71,0.00,92,7.00,26.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,981.52,10-09-2019,22:00:00,23.8,0.0,29.44,000,0.10,1011.48,0.00,92,10.00,25.1
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1004.43,10-09-2019,22:00:00,23.8,0.0,29.42,000,7.70,1011.76,0.00,81,8.00,27.4
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,991.31,10-09-2019,22:00:00,24.8,3.7,31.21,030,1.00,1011.15,0.00,78,5.00,28.9
48353,LOEI,เลย,เลย,17.45000,101.73333,983.00,10-09-2019,22:00:00,24.8,0.0,31.27,000,0.00,1011.77,0.00,89,12.00,26.8
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,991.24,10-09-2019,22:00:00,24.5,0.0,30.70,000,0.00,1011.46,0.00,84,10.00,27.5
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,991.46,10-09-2019,22:00:00,24.3,0.0,30.30,000,0.00,1013.37,0.00,90,10.00,26.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,992.43,10-09-2019,22:00:00,23.3,3.7,28.59,180,0.00,1011.99,0.00,80,10.00,27.1
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,995.72,10-09-2019,22:00:00,22.0,0.0,26.47,000,0.00,1012.58,0.00,77,11.00,26.5
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,995.40,10-09-2019,22:00:00,21.9,0.0,26.27,000,0.00,1013.01,0.00,82,10.00,25.2
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,985.50,10-09-2019,22:00:00,25.1,0.0,31.85,000,0.00,1011.36,0.00,89,9.00,27.1
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1005.82,10-09-2019,22:00:00,25.7,3.7,33.09,230,0.00,1011.63,0.00,91,8.00,27.3
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1005.71,10-09-2019,22:00:00,25.6,0.0,32.77,000,0.00,1011.93,0.00,92,7.00,27.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,996.23,10-09-2019,22:00:00,23.8,0.0,29.54,000,3.50,1012.85,0.00,92,8.00,25.3
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,988.26,10-09-2019,22:00:00,23.2,0.0,28.34,000,0.20,1010.74,0.00,85,10.00,25.8
48376,TAK,ตาก,ตาก,16.87833,99.14333,997.85,10-09-2019,22:00:00,25.0,0.0,31.64,000,0.00,1012.28,0.00,85,6.00,27.7
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,995.72,10-09-2019,22:00:00,24.7,0.0,31.14,000,4.50,1012.28,0.00,97,7.00,25.3
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1006.31,10-09-2019,22:00:00,24.8,0.0,31.27,000,1.90,1011.57,0.00,89,10.00,26.8
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,996.77,10-09-2019,22:00:00,23.5,0.0,29.00,000,0.40,1010.10,0.00,92,10.00,25.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1002.52,10-09-2019,22:00:00,25.3,0.0,32.23,000,0.00,1011.85,0.00,85,10.00,28.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,989.91,10-09-2019,22:00:00,24.6,0.0,30.84,000,0.00,1011.62,0.00,82,10.00,28.0
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,993.81,10-09-2019,22:00:00,24.0,5.6,29.77,120,0.00,1011.36,0.00,82,10.00,27.3
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,996.01,10-09-2019,22:00:00,22.6,7.4,27.36,050,0.00,1011.92,0.00,77,10.00,27.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,991.67,10-09-2019,22:00:00,24.7,0.0,31.14,000,0.00,1010.60,0.00,86,7.00,27.3
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,961.49,10-09-2019,22:00:00,22.1,0.0,26.66,000,0.50,1013.40,0.00,92,7.00,23.5
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1007.46,10-09-2019,22:00:00,24.6,0.0,30.97,000,2.40,1011.44,0.00,89,6.00,26.5
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,917.31,10-09-2019,22:00:00,19.9,0.0,23.23,000,0.00,1013.14,0.00,93,5.00,21.0
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,995.68,10-09-2019,22:00:00,24.5,5.6,30.70,040,0.00,1011.71,0.00,84,8.00,27.5
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1008.01,10-09-2019,22:00:00,24.3,0.0,30.30,000,0.20,1012.08,0.00,90,6.00,26.0
