WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,LandVisibility,WindSpeed,DewPoint,RelativeHumidity,Rainfall,MeanSeaLevelPressure,VaporPressure,WindDirection,StationPressure,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,24.2,10-10-2019,01:00:00,8.00,0.0,22.3,89,0.00,1012.30,26.84,000,981.04,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.1,10-10-2019,01:00:00,8.00,14.8,17.3,95,0.00,1011.28,19.70,180,848.99,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,24.0,10-10-2019,01:00:00,10.00,0.0,21.6,86,0.00,1011.50,25.76,000,967.46,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,22.5,10-10-2019,01:00:00,12.00,0.0,21.7,95,0.00,1011.95,26.01,000,965.74,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,23.0,10-10-2019,01:00:00,4.00,0.0,22.4,96,0.00,1011.49,27.07,000,973.36,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,24.0,10-10-2019,01:00:00,8.00,0.0,22.8,93,0.00,1011.76,27.76,000,966.23,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,23.5,10-10-2019,01:00:00,6.00,0.0,22.0,91,0.00,1012.58,26.42,000,985.48,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,24.1,10-10-2019,01:00:00,10.00,0.0,23.5,97,0.00,1011.98,28.96,000,989.95,1.40
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,23.2,10-10-2019,01:00:00,6.00,0.0,22.6,96,6.80,1012.68,27.41,000,988.20,10.10
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,26.5,10-10-2019,01:00:00,10.00,0.0,23.1,82,0.00,1011.90,28.29,000,977.27,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,25.0,10-10-2019,01:00:00,10.00,0.0,23.8,93,0.00,1011.80,29.52,000,984.03,0.60
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,25.4,10-10-2019,01:00:00,8.00,0.0,23.8,91,0.00,1011.37,29.46,000,977.58,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,25.0,10-10-2019,01:00:00,5.00,0.0,22.9,88,0.00,1011.33,27.96,000,992.65,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,24.8,10-10-2019,01:00:00,10.00,0.0,23.6,93,0.00,1011.37,29.16,000,988.33,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,23.7,10-10-2019,01:00:00,6.00,0.0,22.7,94,0.00,1012.02,27.50,000,981.73,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,24.5,10-10-2019,01:00:00,7.00,0.0,23.8,96,0.00,1011.28,29.41,000,975.44,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,24.0,10-10-2019,01:00:00,8.00,0.0,23.6,97,0.00,1010.86,29.04,000,980.81,0.10
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,26.5,10-10-2019,01:00:00,8.00,0.0,24.2,87,0.00,1011.40,30.16,000,1004.05,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,27.2,10-10-2019,01:00:00,4.00,0.0,25.1,88,0.00,1010.92,31.77,000,990.98,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,25.3,10-10-2019,01:00:00,12.00,3.7,23.5,90,0.00,1011.11,29.01,300,982.22,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,26.7,10-10-2019,01:00:00,10.00,3.7,23.9,85,0.00,1010.99,29.72,090,990.73,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,24.0,10-10-2019,01:00:00,10.00,0.0,22.5,91,0.00,1012.55,27.25,000,990.50,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,25.5,10-10-2019,01:00:00,10.00,3.7,22.4,83,0.00,1011.05,27.04,140,991.40,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,25.4,10-10-2019,01:00:00,10.00,0.0,21.8,81,0.00,1011.66,26.11,000,994.76,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,24.3,10-10-2019,01:00:00,10.00,0.0,22.4,89,0.00,1012.07,27.01,000,994.42,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,26.1,10-10-2019,01:00:00,9.00,0.0,25.1,94,0.00,1010.80,31.85,000,984.87,0.00
