WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,Rainfall24Hr,RelativeHumidity,LandVisibility,AirTemperature,MeanSeaLevelPressure,WindSpeed,VaporPressure,DewPoint,StationPressure,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,10-10-2019,04:00:00,0.00,93,6.00,23.3,1012.26,0.0,26.58,22.1,980.91,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,180,10-10-2019,04:00:00,0.00,95,8.00,18.0,1010.51,9.3,19.57,17.2,848.29,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,000,10-10-2019,04:00:00,0.00,91,6.00,23.0,1011.22,0.0,25.60,21.5,967.04,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,10-10-2019,04:00:00,0.00,94,12.00,21.7,1011.37,0.0,24.28,20.6,965.06,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,10-10-2019,04:00:00,0.00,98,4.00,22.0,1011.08,0.0,25.93,21.7,972.83,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,000,10-10-2019,04:00:00,0.00,96,6.00,23.0,1011.17,0.0,26.83,22.2,965.52,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,000,10-10-2019,04:00:00,0.00,94,5.00,23.2,1012.34,0.0,26.66,22.1,985.22,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,000,10-10-2019,04:00:00,1.40,98,8.00,23.6,1011.07,0.0,28.60,23.3,989.03,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,10-10-2019,04:00:00,10.10,96,6.00,23.0,1012.31,0.0,26.83,22.2,987.82,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,000,10-10-2019,04:00:00,0.00,86,10.00,25.2,1011.64,0.0,27.54,22.7,976.88,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,10-10-2019,04:00:00,0.60,96,10.00,24.0,1011.74,0.0,28.53,23.3,983.87,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,10-10-2019,04:00:00,0.00,92,7.00,24.4,1011.21,0.0,28.20,23.1,977.32,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,000,10-10-2019,04:00:00,0.00,91,4.00,24.0,1011.06,0.0,27.25,22.5,992.32,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,10-10-2019,04:00:00,0.00,92,10.00,24.0,1011.47,0.0,27.51,22.7,988.37,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,10-10-2019,04:00:00,0.00,94,5.00,22.4,1010.75,0.0,25.37,21.3,980.37,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,10-10-2019,04:00:00,0.00,96,7.00,23.5,1010.89,0.0,27.66,22.8,974.94,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,000,10-10-2019,04:00:00,0.10,98,6.00,24.0,1010.49,0.0,29.30,23.7,980.45,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,10-10-2019,04:00:00,0.00,90,8.00,25.0,1010.72,0.0,28.48,23.2,1003.35,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,040,10-10-2019,04:00:00,0.00,89,3.00,26.0,1010.67,3.7,29.76,24.0,990.65,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,000,10-10-2019,04:00:00,0.00,94,10.00,24.5,1010.70,0.0,28.89,23.5,981.75,0.00
