WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,LandVisibility,MinimumTemperature,MeanSeaLevelPressure,RelativeHumidity,Rainfall24Hr,DewPoint,StationPressure,VaporPressure,Rainfall,AirTemperature,WindDirection
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.0,10-10-2019,07:00:00,8.00,17.7,1012.02,97,0.00,17.3,849.45,19.73,0.00,17.8,000
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.0,10-10-2019,07:00:00,8.00,21.8,1013.09,91,0.00,21.1,968.77,24.96,0.00,22.6,000
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,10-10-2019,07:00:00,15.00,20.0,1012.87,95,0.00,20.7,966.47,24.44,0.00,21.5,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,10-10-2019,07:00:00,8.00,21.0,1013.90,99,0.00,21.3,975.48,25.38,0.00,21.5,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.0,10-10-2019,07:00:00,7.00,22.5,1012.86,96,0.00,22.2,967.13,26.83,0.00,23.0,000
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.0,10-10-2019,07:00:00,.60,22.1,1013.90,97,0.00,22.0,986.68,26.50,0.00,22.5,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.0,10-10-2019,07:00:00,6.00,23.1,1012.18,98,1.40,23.0,990.09,28.08,0.00,23.3,000
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,10-10-2019,07:00:00,4.00,21.0,1013.63,98,10.10,22.7,989.11,27.57,0.00,23.0,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.0,10-10-2019,07:00:00,10.00,24.0,1012.70,89,0.00,22.4,977.80,27.01,0.00,24.3,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,10-10-2019,07:00:00,7.00,23.0,1014.40,96,0.10,23.2,986.46,28.35,0.00,23.9,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,10-10-2019,07:00:00,8.00,23.8,1012.78,95,0.00,23.1,978.79,28.27,0.00,24.0,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.0,10-10-2019,07:00:00,4.00,23.2,1012.38,96,0.00,23.8,993.65,29.41,0.00,24.5,000
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,10-10-2019,07:00:00,10.00,23.1,1013.02,94,0.00,22.4,989.84,27.16,0.00,23.5,000
