WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,RelativeHumidity,DewPoint,MeanSeaLevelPressure,WindDirection,StationPressure,WindSpeed,LandVisibility,MaximumTemperature,Rainfall24Hr,VaporPressure,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,28.2,10-10-2019,19:00:00,80,24.3,1008.73,000,977.99,0.0,12.00,33.1,0.00,30.40,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.8,10-10-2019,19:00:00,92,17.5,1008.75,180,847.21,3.7,8.00,21.0,4.10,19.97,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,28.5,10-10-2019,19:00:00,71,22.8,1008.88,000,965.59,0.0,10.00,33.1,0.00,27.71,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,27.8,10-10-2019,19:00:00,75,23.0,1008.97,000,963.68,0.0,12.00,34.5,0.00,28.02,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,26.6,10-10-2019,19:00:00,80,22.8,1009.72,000,972.09,0.0,8.00,34.1,0.00,27.69,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,26.5,10-10-2019,19:00:00,80,22.8,1009.88,000,964.81,0.0,7.00,32.0,0.00,27.77,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,29.1,10-10-2019,19:00:00,72,23.4,1009.25,000,982.73,0.0,10.00,35.0,0.00,28.83,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,28.4,10-10-2019,19:00:00,79,24.4,1009.13,150,987.47,3.7,12.00,33.5,0.00,30.51,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,29.5,10-10-2019,19:00:00,78,25.2,1008.80,000,984.91,0.0,10.00,34.5,8.70,32.13,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,30.5,10-10-2019,19:00:00,63,22.6,1008.62,000,974.55,0.0,12.00,34.5,0.00,27.41,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,29.3,10-10-2019,19:00:00,72,23.8,1010.38,000,983.03,0.0,10.00,34.8,0.00,29.49,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,29.5,10-10-2019,19:00:00,70,23.4,1009.11,000,975.85,0.0,10.00,34.6,0.00,28.78,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,29.0,10-10-2019,19:00:00,71,23.2,1008.89,270,990.50,1.9,8.00,35.0,0.00,28.37,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,30.2,10-10-2019,19:00:00,70,24.2,1009.08,000,986.50,0.0,10.00,35.1,0.00,30.14,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,29.6,10-10-2019,19:00:00,74,24.4,1009.29,000,979.66,0.0,10.00,35.0,0.00,30.63,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,27.2,10-10-2019,19:00:00,79,23.2,1009.58,000,974.11,0.0,8.00,33.0,0.00,28.51,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,26.1,10-10-2019,19:00:00,90,24.4,1009.65,140,979.84,3.7,13.00,33.1,1.80,30.48,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,31.1,10-10-2019,19:00:00,69,24.7,1009.05,000,1001.83,0.0,9.00,36.6,0.00,31.10,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,30.5,10-10-2019,19:00:00,72,24.8,1009.22,100,989.52,3.7,6.00,34.5,0.00,31.31,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,27.5,10-10-2019,19:00:00,79,23.6,1010.10,000,981.44,0.0,12.00,33.5,0.50,29.06,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,29.5,10-10-2019,19:00:00,68,22.9,1009.69,000,989.65,0.0,12.00,34.0,0.00,27.96,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,28.0,10-10-2019,19:00:00,81,24.4,1009.86,000,988.16,0.0,12.00,33.7,0.00,30.56,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,29.6,10-10-2019,19:00:00,69,23.2,1009.56,000,990.21,0.0,13.00,33.0,0.00,28.42,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,29.6,10-10-2019,19:00:00,70,23.5,1010.01,090,993.37,3.7,10.00,33.9,0.00,28.97,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,29.1,10-10-2019,19:00:00,74,23.9,1010.20,000,992.87,0.0,10.00,33.8,0.00,29.65,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,29.0,10-10-2019,19:00:00,74,23.9,1008.74,000,983.10,0.0,10.00,34.0,0.00,29.74,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,30.5,10-10-2019,19:00:00,78,26.3,1008.75,120,1003.02,3.7,10.00,35.0,0.00,34.22,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,30.5,10-10-2019,19:00:00,75,25.6,1009.00,000,1002.87,0.0,7.00,34.8,0.00,32.75,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,27.8,10-10-2019,19:00:00,81,24.2,1010.67,000,994.22,0.0,10.00,34.7,1.30,30.17,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,27.5,10-10-2019,19:00:00,73,22.3,1008.11,090,985.81,7.4,8.00,34.5,0.00,26.95,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,29.7,10-10-2019,19:00:00,82,26.2,1009.62,240,995.33,3.7,7.00,34.2,0.00,34.00,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,28.6,10-10-2019,19:00:00,77,24.1,1009.15,000,992.83,0.0,8.00,34.1,0.00,30.07,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,30.0,10-10-2019,19:00:00,78,25.8,1009.71,000,1004.52,0.0,10.00,34.1,0.00,33.17,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,27.0,10-10-2019,19:00:00,88,24.8,1008.21,000,995.00,0.0,10.00,34.5,11.80,31.38,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,30.8,10-10-2019,19:00:00,73,25.4,1009.29,000,1000.06,0.0,10.00,34.5,0.00,32.51,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,29.5,10-10-2019,19:00:00,74,24.3,1009.58,000,988.03,0.0,10.00,34.4,0.00,30.44,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,29.5,10-10-2019,19:00:00,78,25.2,1009.64,000,992.24,0.0,12.00,34.5,0.00,32.13,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,30.1,10-10-2019,19:00:00,70,24.1,1008.89,000,993.19,0.0,10.00,34.0,0.00,29.94,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,28.4,10-10-2019,19:00:00,79,24.4,1008.71,000,989.88,0.0,8.00,34.0,0.01,30.51,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,23.2,10-10-2019,19:00:00,91,21.7,1011.83,000,959.95,0.0,6.00,33.2,37.90,25.92,37.90
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,29.0,10-10-2019,19:00:00,83,25.8,1009.00,110,1005.06,7.4,9.00,33.9,0.10,33.12,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,23.2,10-10-2019,19:00:00,90,21.4,1010.21,000,915.33,0.0,8.00,27.9,0.00,25.44,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,29.0,10-10-2019,19:00:00,81,25.5,1009.49,000,993.57,0.0,10.00,33.7,0.00,32.55,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,28.5,10-10-2019,19:00:00,83,25.2,1009.48,080,1005.46,5.6,9.00,33.6,12.90,32.10,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,28.0,10-10-2019,19:00:00,81,24.4,1010.18,050,999.51,5.6,8.00,33.4,0.00,30.56,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,29.0,10-10-2019,19:00:00,81,25.5,1009.34,030,1007.42,3.7,10.00,34.4,0.00,32.55,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,27.1,10-10-2019,19:00:00,80,23.3,1009.91,000,989.00,0.0,10.00,34.2,0.00,28.59,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,29.3,10-10-2019,19:00:00,86,26.8,1009.12,000,991.56,0.0,10.00,32.9,0.00,35.21,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,30.5,10-10-2019,19:00:00,68,24.0,1008.88,000,992.88,0.0,10.00,33.4,0.00,29.89,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,28.9,10-10-2019,19:00:00,72,23.4,1009.54,000,995.56,0.0,10.00,33.7,0.00,28.72,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,26.6,10-10-2019,19:00:00,82,23.2,1010.13,000,995.24,0.0,9.00,34.0,0.00,28.47,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,27.1,10-10-2019,19:00:00,91,25.5,1010.86,000,996.14,0.0,7.00,33.0,3.10,32.69,0.10
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,29.8,10-10-2019,19:00:00,82,26.3,1009.10,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1006.10,0.0,9.00,33.8,0.00,34.21,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,26.0,10-10-2019,19:00:00,86,23.5,1009.60,000,1001.60,0.0,10.00,31.7,0.20,28.97,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,28.6,10-10-2019,19:00:00,86,26.1,1009.82,000,1008.72,0.0,9.00,35.0,0.00,33.74,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,27.0,10-10-2019,19:00:00,70,21.0,1010.61,000,995.87,0.0,8.00,33.2,0.00,24.79,0.00
