WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,AirTemperature,DewPoint,RelativeHumidity,VaporPressure,WindSpeed,Rainfall24Hr,MeanSeaLevelPressure,WindDirection,StationPressure,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,10-11-2019,01:00:00,24.2,22.7,91,27.60,0.0,0.80,1011.73,000,980.48,8.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,10-11-2019,01:00:00,18.3,16.1,87,18.30,3.7,4.10,1010.40,160,848.35,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,10-11-2019,01:00:00,26.0,22.4,81,27.14,0.0,0.00,1011.09,000,967.35,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,10-11-2019,01:00:00,24.9,22.4,86,27.02,0.0,0.00,1011.15,000,965.33,12.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,10-11-2019,01:00:00,22.5,22.0,97,26.50,0.0,0.00,1012.12,000,973.90,6.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,10-11-2019,01:00:00,25.0,23.5,92,29.00,0.0,0.00,1011.23,000,965.87,7.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,10-11-2019,01:00:00,24.2,23.0,93,28.10,0.0,0.00,1012.13,000,985.10,6.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,5.60,10-11-2019,01:00:00,23.2,22.6,96,27.41,0.0,5.60,1012.71,000,990.60,7.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1.00,10-11-2019,01:00:00,23.5,23.2,98,28.42,0.0,3.50,1012.70,000,988.24,6.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,3.50,10-11-2019,01:00:00,24.0,22.2,90,26.75,3.7,3.50,1012.32,160,977.40,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,10-11-2019,01:00:00,26.0,24.6,92,30.84,0.0,0.00,1012.47,000,984.76,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,14.10,10-11-2019,01:00:00,23.3,22.4,95,27.08,0.0,15.60,1013.17,000,979.09,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,10-11-2019,01:00:00,26.0,23.8,88,29.50,0.0,0.00,1011.03,000,992.42,5.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,10-11-2019,01:00:00,25.1,22.9,88,27.88,0.0,0.00,1011.40,000,988.38,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,10-11-2019,01:00:00,24.2,23.0,93,28.10,0.0,0.00,1011.29,000,981.07,5.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,10-11-2019,01:00:00,26.5,25.1,92,31.79,0.0,0.00,1011.57,000,975.95,6.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,10-11-2019,01:00:00,24.0,23.7,98,29.30,0.0,1.80,1010.76,000,980.71,10.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,10-11-2019,01:00:00,27.6,24.4,83,30.61,0.0,0.00,1011.04,000,1003.72,8.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,10-11-2019,01:00:00,26.8,23.4,82,28.84,3.7,0.00,1010.79,100,990.82,5.00
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,10-11-2019,01:00:00,25.1,23.8,92,29.44,0.0,0.50,1011.05,000,982.14,10.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,10-11-2019,01:00:00,25.7,23.7,89,29.21,0.0,0.00,1011.24,000,990.91,10.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,10-11-2019,01:00:00,25.0,23.1,89,28.22,0.0,0.00,1011.56,000,989.61,12.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,10-11-2019,01:00:00,26.4,23.6,85,29.17,0.0,0.00,1011.13,000,991.53,11.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,10-11-2019,01:00:00,26.4,23.0,82,28.11,0.0,0.00,1011.49,000,994.65,10.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,10-11-2019,01:00:00,25.9,23.4,86,28.78,0.0,0.00,1011.68,000,994.14,10.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,10-11-2019,01:00:00,24.7,22.8,89,27.69,0.0,0.00,1010.60,000,984.56,10.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,10-11-2019,01:00:00,26.8,24.2,86,30.18,9.3,0.00,1011.77,270,1005.95,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,10-11-2019,01:00:00,27.0,25.6,92,32.77,0.0,0.00,1011.41,000,1005.20,6.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,10-11-2019,01:00:00,25.5,23.6,89,29.11,0.0,1.30,1011.87,000,995.27,8.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,5.00,10-11-2019,01:00:00,22.8,22.0,96,26.50,0.0,62.50,1011.43,000,988.70,7.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,3.00,10-11-2019,01:00:00,23.9,22.4,91,27.08,0.0,12.40,1012.86,000,998.24,6.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,39.50,10-11-2019,01:00:00,23.2,23.0,99,28.16,0.0,50.10,1012.35,000,995.67,6.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,10-11-2019,01:00:00,26.6,24.7,90,31.16,0.0,0.00,1011.17,000,1005.92,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,10-11-2019,01:00:00,25.3,24.1,93,30.07,0.0,11.80,1009.66,000,996.36,10.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,10-11-2019,01:00:00,26.4,23.6,85,29.17,0.0,0.00,1011.38,000,1002.00,10.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,10-11-2019,01:00:00,26.0,23.8,88,29.50,5.6,0.00,1011.03,300,989.19,8.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,10-11-2019,01:00:00,26.5,23.6,84,29.08,0.0,0.00,1011.09,000,993.50,10.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,10-11-2019,01:00:00,27.0,24.1,84,30.02,0.0,0.00,1010.40,000,994.52,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,10-11-2019,01:00:00,25.7,23.9,90,29.74,0.0,0.00,1010.10,000,991.08,6.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,10-11-2019,01:00:00,21.1,19.8,93,23.14,0.0,44.60,1012.17,000,959.91,5.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,10-11-2019,01:00:00,26.6,25.5,93,32.54,0.0,0.10,1010.66,000,1006.68,8.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,10-11-2019,01:00:00,20.0,18.7,92,21.57,7.4,0.00,1013.48,210,917.31,6.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,10-11-2019,01:00:00,25.8,23.8,89,29.39,0.0,0.00,1011.09,000,994.98,8.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,10-11-2019,01:00:00,26.2,25.3,95,32.32,0.0,12.90,1011.05,000,1006.99,8.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,10-11-2019,01:00:00,25.5,23.7,90,29.38,0.0,0.00,1012.43,000,1001.64,7.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,10-11-2019,01:00:00,26.9,24.7,88,31.19,3.7,0.00,1011.25,090,1009.32,8.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,10-11-2019,01:00:00,24.9,23.0,89,28.04,0.0,0.00,1012.14,000,991.03,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,10-11-2019,01:00:00,26.2,25.0,93,31.76,0.0,0.00,1010.50,000,992.73,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,10-11-2019,01:00:00,27.0,25.6,92,32.77,0.0,0.00,1010.35,000,994.14,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,10-11-2019,01:00:00,26.3,23.1,82,28.19,0.0,0.00,1011.04,000,996.92,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,10-11-2019,01:00:00,25.0,23.5,92,29.00,0.0,0.00,1011.48,000,996.49,8.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,10-11-2019,01:00:00,25.8,25.4,97,32.37,0.0,2.50,1011.25,000,996.46,6.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,10-11-2019,01:00:00,26.8,24.0,85,29.91,0.0,0.00,1011.08,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1008.05,8.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,10-11-2019,01:00:00,25.0,23.5,92,29.00,0.0,0.00,1011.00,000,1002.97,7.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,10-11-2019,01:00:00,27.0,25.3,90,32.21,0.0,0.00,1011.89,000,1010.78,7.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,10-11-2019,01:00:00,25.0,22.0,83,26.43,0.0,0.00,1011.39,000,996.55,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,10-11-2019,01:00:00,17.6,17.4,99,19.90,0.0,19.80,1014.42,000,877.63,8.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,10-11-2019,01:00:00,24.1,23.9,99,29.74,3.7,2.90,1011.25,120,1005.29,7.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,10-11-2019,01:00:00,27.2,25.2,89,32.05,0.0,0.00,1011.26,000,1010.46,8.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.40,10-11-2019,01:00:00,24.5,23.5,94,28.89,0.0,6.30,1012.51,000,1001.05,4.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,26.30,10-11-2019,01:00:00,23.7,22.3,92,27.00,3.7,26.30,1011.70,270,1010.67,4.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,10-11-2019,01:00:00,26.6,24.3,87,30.34,0.0,0.00,1011.07,000,1009.24,7.00
