WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,RelativeHumidity,DewPoint,StationPressure,Rainfall,LandVisibility,MeanSeaLevelPressure,WindDirection,AirTemperature,Rainfall24Hr,WindSpeed,MinimumTemperature
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.03,10-11-2019,07:00:00,99,16.7,848.59,2.40,2.00,1011.52,120,16.9,6.50,9.3,16.8
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,25.76,10-11-2019,07:00:00,91,21.6,969.31,33.10,8.00,1013.57,000,23.1,34.50,0.0,22.7
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,25.37,10-11-2019,07:00:00,94,21.3,966.35,0.40,2.00,1012.61,000,22.4,0.40,0.0,21.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,26.10,10-11-2019,07:00:00,100,21.8,974.81,0.00,8.00,1013.17,000,21.8,0.00,0.0,21.3
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,28.53,10-11-2019,07:00:00,96,23.3,966.70,0.00,6.00,1012.25,000,24.0,0.00,0.0,23.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,26.91,10-11-2019,07:00:00,95,22.3,985.83,0.00,4.00,1012.97,000,23.2,0.00,0.0,22.8
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,26.74,10-11-2019,07:00:00,98,22.2,989.92,0.00,7.00,1012.07,000,22.5,10.30,0.0,22.3
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,27.57,10-11-2019,07:00:00,98,22.7,987.92,0.50,4.00,1012.41,000,23.0,5.50,0.0,21.2
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,27.00,10-11-2019,07:00:00,91,22.4,976.94,0.20,9.00,1011.84,000,24.0,3.70,0.0,23.4
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,26.83,10-11-2019,07:00:00,92,22.2,984.28,0.00,10.00,1012.19,000,23.6,0.00,0.0,23.2
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,27.41,10-11-2019,07:00:00,96,22.6,978.05,0.00,10.00,1012.10,000,23.2,15.60,0.0,23.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,29.08,10-11-2019,07:00:00,92,23.6,993.26,0.00,10.00,1011.95,000,24.9,0.10,0.0,24.1
