WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,LandVisibility,MeanSeaLevelPressure,Rainfall24Hr,Rainfall,WindSpeed,AirTemperature,VaporPressure,WindDirection,StationPressure,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,83,10-11-2019,22:00:00,10.00,1010.64,0.40,0.00,0.0,26.5,28.82,000,979.66,23.4
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,94,10-11-2019,22:00:00,8.00,1010.76,2.40,0.00,7.4,18.7,20.26,130,848.84,17.7
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,83,10-11-2019,22:00:00,10.00,1010.24,35.60,0.00,0.0,25.7,27.39,000,966.49,22.6
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,88,10-11-2019,22:00:00,15.00,1010.50,0.40,0.00,0.0,24.6,27.27,000,964.67,22.5
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,89,10-11-2019,22:00:00,7.00,1011.71,0.00,0.00,0.0,24.9,28.04,000,973.80,23.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,91,10-11-2019,22:00:00,7.00,1011.25,0.00,0.00,0.0,24.0,27.25,000,965.74,22.5
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,92,10-11-2019,22:00:00,8.00,1011.73,0.00,0.00,0.0,24.8,28.90,000,984.77,23.5
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,92,10-11-2019,22:00:00,12.00,1010.49,10.30,0.00,0.0,26.0,30.84,000,988.63,24.6
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,94,10-11-2019,22:00:00,8.00,1010.83,3.00,0.00,0.0,25.2,30.15,000,986.55,24.2
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,76,10-11-2019,22:00:00,10.00,1010.47,3.90,0.00,0.0,27.3,27.63,000,975.98,22.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,84,10-11-2019,22:00:00,10.00,1010.54,0.00,0.00,0.0,27.3,30.59,000,983.01,24.4
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,87,10-11-2019,22:00:00,10.00,1010.37,14.10,0.00,0.0,26.8,30.72,000,976.77,24.5
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,95,10-11-2019,22:00:00,12.00,1010.40,4.10,0.00,0.0,25.5,30.98,000,991.78,24.6
48331,NAN,น่าน,น่าน,18.77972,100.77778,85,10-11-2019,22:00:00,10.00,1010.99,0.00,0.00,0.0,26.1,28.88,000,988.06,23.5
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,90,10-11-2019,22:00:00,8.00,1011.08,0.00,0.00,0.0,25.7,29.74,000,981.02,23.9
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,89,10-11-2019,22:00:00,8.00,1010.54,0.00,0.00,0.0,25.5,29.11,000,974.84,23.6
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,85,10-11-2019,22:00:00,12.00,1009.96,0.00,0.00,0.0,26.0,28.70,000,980.13,23.4
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,84,10-11-2019,22:00:00,8.00,1010.24,31.30,0.00,0.0,27.5,30.97,000,1002.93,24.6
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,77,10-11-2019,22:00:00,6.00,1009.54,0.00,0.00,3.7,29.6,32.05,140,989.78,25.2
48353,LOEI,เลย,เลย,17.45000,101.73333,84,10-11-2019,22:00:00,10.00,1009.87,0.01,0.01,3.7,26.5,29.08,190,981.13,23.6
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,84,10-11-2019,22:00:00,12.00,1009.68,0.00,0.00,1.9,27.7,31.08,210,989.52,24.7
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,85,10-11-2019,22:00:00,12.00,1010.15,0.00,0.00,0.0,25.8,28.34,000,988.29,23.2
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,82,10-11-2019,22:00:00,10.00,1009.43,0.00,0.00,0.0,27.5,30.15,000,989.94,24.2
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,79,10-11-2019,22:00:00,12.00,1010.37,0.00,0.00,0.0,27.7,29.17,000,993.62,23.6
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,89,10-11-2019,22:00:00,10.00,1010.84,0.00,0.00,0.0,25.4,28.93,000,993.28,23.5
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,85,10-11-2019,22:00:00,9.00,1009.62,0.00,0.00,0.0,27.0,30.29,000,983.80,24.3
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,95,10-11-2019,22:00:00,10.00,1009.79,0.00,0.00,3.7,28.5,36.77,180,1004.01,27.5
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,92,10-11-2019,22:00:00,7.00,1009.92,0.00,0.00,0.0,27.5,33.78,000,1003.72,26.1
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,84,10-11-2019,22:00:00,10.00,1011.18,9.80,0.00,0.0,26.5,29.08,000,994.65,23.6
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,84,10-11-2019,22:00:00,10.00,1009.35,5.00,0.00,0.0,26.5,29.08,000,986.94,23.6
48376,TAK,ตาก,ตาก,16.87833,99.14333,86,10-11-2019,22:00:00,10.00,1011.02,3.00,0.00,0.0,26.0,28.97,000,996.53,23.5
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,96,10-11-2019,22:00:00,7.00,1010.56,40.30,0.00,0.0,25.5,31.25,000,994.04,24.8
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,85,10-11-2019,22:00:00,10.00,1009.87,0.00,0.00,0.0,27.7,31.64,000,1004.64,25.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,84,10-11-2019,22:00:00,10.00,1009.04,0.00,0.00,0.0,27.5,30.97,000,995.84,24.6
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,86,10-11-2019,22:00:00,11.00,1010.15,0.00,0.00,0.0,27.5,31.52,000,1000.81,24.9
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,80,10-11-2019,22:00:00,8.00,1009.95,0.00,0.00,0.0,28.2,30.67,000,988.29,24.5
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,85,10-11-2019,22:00:00,10.00,1010.28,0.00,0.00,0.0,28.5,33.24,000,992.81,25.8
