WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,Rainfall,StationPressure,VaporPressure,AirTemperature,MinimumTemperature,WindSpeed,WindDirection,RelativeHumidity,LandVisibility,MeanSeaLevelPressure,Rainfall24Hr
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,16.3,10-12-2019,07:00:00,0.00,847.95,18.54,17.5,17.2,7.4,130,93,8.00,1010.40,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,22.3,10-12-2019,07:00:00,0.00,966.91,26.99,23.4,22.6,0.0,000,94,.50,1011.02,1.10
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,21.6,10-12-2019,07:00:00,0.00,965.29,25.77,22.2,20.5,0.0,000,96,15.00,1011.53,0.01
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,22.0,10-12-2019,07:00:00,0.00,973.82,26.42,22.0,21.5,0.0,000,100,8.00,1012.11,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,22.8,10-12-2019,07:00:00,0.00,964.17,27.83,23.3,22.0,0.0,000,97,4.00,1009.72,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,22.5,10-12-2019,07:00:00,0.00,984.80,27.32,23.0,22.7,0.0,000,97,.80,1011.93,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,23.4,10-12-2019,07:00:00,0.00,988.48,28.77,23.7,23.4,1.9,100,98,8.00,1010.50,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.1,10-12-2019,07:00:00,0.00,986.89,29.93,24.5,22.5,0.0,000,97,4.00,1011.24,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,21.8,10-12-2019,07:00:00,0.00,976.21,26.09,24.2,23.9,0.0,000,86,10.00,1011.07,0.20
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,23.2,10-12-2019,07:00:00,0.00,983.12,28.44,24.1,23.6,0.0,000,95,10.00,1010.95,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,23.3,10-12-2019,07:00:00,0.00,977.00,28.53,24.0,23.9,0.0,000,96,10.00,1010.93,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,23.9,10-12-2019,07:00:00,0.00,992.01,29.66,24.2,23.4,0.0,000,98,2.00,1010.72,4.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,22.4,10-12-2019,07:00:00,0.00,988.15,27.08,23.6,23.1,0.0,000,93,10.00,1011.28,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,21.7,10-12-2019,07:00:00,0.00,980.54,26.01,22.5,22.3,0.0,000,95,6.00,1010.92,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,21.6,10-12-2019,07:00:00,0.00,976.16,25.76,22.8,22.4,0.0,000,93,8.00,1012.25,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,22.7,10-12-2019,07:00:00,0.00,980.52,27.57,23.0,22.8,0.0,000,98,4.00,1010.67,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,24.0,10-12-2019,07:00:00,0.00,1002.76,29.91,25.5,25.2,0.0,000,92,7.00,1010.13,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,24.7,10-12-2019,07:00:00,0.00,990.39,31.14,27.3,26.0,7.4,080,86,5.00,1010.32,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,23.0,10-12-2019,07:00:00,0.00,981.88,28.11,24.5,23.7,0.0,000,91,12.00,1010.84,0.01
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,23.8,10-12-2019,07:00:00,0.00,990.24,29.52,26.3,24.7,3.7,090,86,10.00,1010.51,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,23.4,10-12-2019,07:00:00,0.00,989.38,28.81,24.6,23.0,3.7,180,93,10.00,1011.36,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,21.7,10-12-2019,07:00:00,0.00,991.07,25.95,26.2,24.5,7.4,140,76,14.00,1010.67,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,20.9,10-12-2019,07:00:00,0.00,994.57,24.78,25.5,23.8,0.0,000,76,10.00,1011.46,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,22.0,10-12-2019,07:00:00,0.00,994.19,26.43,25.0,21.8,0.0,000,83,6.00,1011.79,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,24.1,10-12-2019,07:00:00,0.00,984.48,30.07,25.3,24.2,0.0,000,93,8.00,1010.47,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,25.4,10-12-2019,07:00:00,0.00,1003.77,32.48,26.0,24.5,0.0,000,97,5.00,1009.59,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,24.8,10-12-2019,07:00:00,0.00,1003.88,31.25,25.5,25.0,0.0,000,96,7.00,1010.12,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,23.7,10-12-2019,07:00:00,0.00,994.51,29.25,24.7,24.1,0.0,000,94,12.00,1011.14,5.70
