WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,RelativeHumidity,AirTemperature,VaporPressure,WindSpeed,Rainfall24Hr,LandVisibility,MeanSeaLevelPressure,StationPressure,MaximumTemperature,WindDirection,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,10-12-2019,19:00:00,81,28.9,32.34,0.0,0.00,12.00,1007.85,977.20,33.9,000,25.4
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,10-12-2019,19:00:00,88,21.8,23.03,13.0,0.00,8.00,1008.35,848.35,25.3,270,19.8
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,10-12-2019,19:00:00,68,29.0,27.30,0.0,0.00,12.00,1008.08,964.89,33.5,000,22.5
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,10-12-2019,19:00:00,76,27.5,27.73,0.0,0.00,15.00,1008.23,962.93,33.4,000,22.8
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,10-12-2019,19:00:00,83,27.7,30.81,0.0,0.00,8.00,1009.20,971.73,34.4,000,24.5
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,10-12-2019,19:00:00,84,27.5,30.97,0.0,0.00,12.00,1008.59,963.72,31.2,000,24.6
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,10-12-2019,19:00:00,83,27.1,29.66,3.7,0.00,10.00,1009.63,982.93,35.0,090,23.9
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,10-12-2019,19:00:00,88,27.8,32.96,5.6,12.30,12.00,1008.19,986.51,34.5,090,25.7
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,10-12-2019,19:00:00,77,28.0,29.19,0.0,0.00,10.00,1009.22,985.21,36.0,000,23.6
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.80,10-12-2019,19:00:00,78,28.2,29.85,3.7,0.80,10.00,1007.76,973.47,34.8,090,24.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,10-12-2019,19:00:00,70,30.3,30.34,0.0,0.00,10.00,1008.57,981.36,35.5,000,24.3
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,10-12-2019,19:00:00,76,29.5,31.28,0.0,0.00,10.00,1007.86,974.64,34.5,000,24.8
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,10-12-2019,19:00:00,72,30.5,31.60,3.7,0.00,7.00,1007.95,989.67,35.0,190,25.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,2.00,10-12-2019,19:00:00,87,26.9,30.91,0.0,2.00,10.00,1008.67,985.85,35.4,000,24.6
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,10-12-2019,19:00:00,82,26.5,28.29,0.0,0.00,10.00,1009.09,979.16,34.7,000,23.1
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,10-12-2019,19:00:00,78,29.5,32.13,0.0,0.00,7.00,1008.11,972.95,33.8,000,25.2
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,10-12-2019,19:00:00,81,27.9,30.37,3.7,0.00,14.00,1008.31,978.72,35.6,270,24.3
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,10-12-2019,19:00:00,68,30.2,29.30,0.0,0.00,9.00,1007.46,1000.23,36.6,000,23.7
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,10-12-2019,19:00:00,74,30.6,32.67,9.3,0.00,6.00,1008.54,988.86,35.3,030,25.5
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,10-12-2019,19:00:00,73,29.7,30.55,0.0,0.01,13.00,1008.20,979.81,34.7,000,24.4
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,10-12-2019,19:00:00,68,30.1,28.83,0.0,0.00,10.00,1008.19,988.22,34.2,000,23.4
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,10-12-2019,19:00:00,79,28.0,30.01,0.0,0.00,10.00,1009.41,987.72,34.5,000,24.1
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,10-12-2019,19:00:00,69,29.7,28.61,0.0,0.00,12.00,1007.90,988.58,33.9,000,23.3
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,10-12-2019,19:00:00,68,29.5,27.96,0.0,0.00,12.00,1008.69,992.06,34.6,000,22.9
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,10-12-2019,19:00:00,85,27.6,31.44,0.0,0.00,10.00,1009.02,991.62,34.0,000,24.9
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,10-12-2019,19:00:00,73,28.7,28.62,0.0,0.00,12.00,1007.54,981.91,35.5,000,23.3
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,10-12-2019,19:00:00,77,31.9,36.40,0.0,0.00,10.00,1007.57,1001.87,36.3,000,27.4
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,10-12-2019,19:00:00,75,31.0,33.81,0.0,0.00,7.00,1007.97,1001.85,35.1,000,26.1
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,10-12-2019,19:00:00,72,28.2,27.69,5.6,0.00,10.00,1010.33,993.91,35.4,210,22.8
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,10-12-2019,19:00:00,75,29.5,30.72,0.0,0.00,10.00,1006.96,984.83,34.5,000,24.5
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,10-12-2019,19:00:00,76,30.7,33.47,0.0,0.00,9.00,1008.40,994.17,35.3,000,25.9
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,10-12-2019,19:00:00,89,26.0,30.03,0.0,0.00,10.00,1008.38,991.93,34.5,000,24.1
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,10-12-2019,19:00:00,82,30.0,34.93,0.0,0.00,10.00,1007.87,1002.69,35.0,000,26.7
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,22.10,10-12-2019,19:00:00,88,25.5,28.59,0.0,22.10,10.00,1007.54,994.27,36.2,000,23.3
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,10-12-2019,19:00:00,77,30.7,34.06,0.0,0.00,12.00,1008.02,998.80,34.5,000,26.2
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,10-12-2019,19:00:00,77,28.7,30.26,5.6,0.00,9.00,1008.38,986.79,35.2,180,24.2
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,10-12-2019,19:00:00,73,30.3,31.48,5.6,0.00,10.00,1007.89,990.57,34.7,110,24.9
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,10-12-2019,19:00:00,69,30.0,29.19,0.0,0.00,10.00,1007.72,992.04,34.4,000,23.6
