WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindSpeed,WindDirection,AirTemperature,VaporPressure,StationPressure,Rainfall24Hr,MeanSeaLevelPressure,LandVisibility,Rainfall,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,23.0,10-13-2019,01:00:00,0.0,000,25.5,28.07,978.14,0.00,1009.17,10.00,0.00,86
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,17.2,10-13-2019,01:00:00,9.3,180,19.8,19.57,848.02,0.00,1009.13,8.00,0.00,85
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,22.3,10-13-2019,01:00:00,0.0,000,24.4,26.93,966.24,0.00,1010.17,12.00,0.00,88
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,23.1,10-13-2019,01:00:00,0.0,000,24.3,28.28,964.51,0.00,1010.39,12.00,0.00,93
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,23.2,10-13-2019,01:00:00,0.0,000,23.5,28.42,972.89,0.00,1010.94,6.00,0.00,98
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.6,10-13-2019,01:00:00,0.0,000,24.8,29.16,965.04,0.00,1010.39,10.00,0.00,93
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,23.7,10-13-2019,01:00:00,0.0,000,24.6,29.33,984.01,0.00,1010.97,7.00,0.00,95
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,24.1,10-13-2019,01:00:00,0.0,000,24.5,29.93,988.08,12.30,1010.04,7.00,0.00,97
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,23.7,10-13-2019,01:00:00,0.0,000,24.3,29.31,986.33,0.00,1010.67,6.00,0.00,97
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,24.0,10-13-2019,01:00:00,0.0,000,26.5,29.89,975.32,0.80,1009.87,10.00,0.00,86
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,24.5,10-13-2019,01:00:00,0.0,000,26.1,30.76,983.28,0.00,1010.93,10.00,0.00,91
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,23.9,10-13-2019,01:00:00,0.0,000,25.7,29.74,976.36,0.00,1010.07,10.00,0.00,90
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,23.0,10-13-2019,01:00:00,0.0,000,25.1,28.14,991.10,0.00,1009.74,6.00,0.00,88
48331,NAN,น่าน,น่าน,18.77972,100.77778,23.8,10-13-2019,01:00:00,0.0,000,25.3,29.54,987.30,2.00,1010.27,10.00,0.00,92
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,22.5,10-13-2019,01:00:00,0.0,000,24.0,27.25,980.44,0.00,1010.66,7.00,0.00,91
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,23.0,10-13-2019,01:00:00,0.0,000,24.8,28.13,974.11,0.00,1009.87,7.00,0.00,90
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,23.5,10-13-2019,01:00:00,0.0,000,24.5,28.89,980.11,0.00,1010.09,10.00,0.00,94
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,24.1,10-13-2019,01:00:00,0.0,000,27.0,30.02,1002.03,0.00,1009.35,8.00,0.00,84
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,24.2,10-13-2019,01:00:00,5.6,140,27.4,30.23,989.66,0.00,1009.56,6.00,0.00,83
48353,LOEI,เลย,เลย,17.45000,101.73333,22.6,10-13-2019,01:00:00,0.0,000,25.6,27.47,981.21,0.00,1010.05,12.00,0.00,84
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,24.0,10-13-2019,01:00:00,3.7,110,26.8,29.91,989.69,0.00,1009.92,10.00,0.00,85
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,22.5,10-13-2019,01:00:00,0.0,000,24.1,27.17,989.74,0.00,1011.76,10.00,0.00,91
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,23.3,10-13-2019,01:00:00,5.6,170,26.2,28.54,990.64,0.00,1010.23,10.00,0.00,84
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,22.3,10-13-2019,01:00:00,0.0,000,26.5,26.99,993.95,0.00,1010.78,10.00,0.00,78
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,22.7,10-13-2019,01:00:00,0.0,000,26.0,27.66,993.41,0.00,1010.93,{'@attributes': {'Unit': 'km'}},0.00,82
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,23.1,10-13-2019,01:00:00,0.0,000,26.0,28.18,983.23,0.00,1009.13,10.00,0.00,84
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,25.5,10-13-2019,01:00:00,3.7,150,27.2,32.61,1003.53,0.00,1009.33,10.00,0.00,90
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,25.6,10-13-2019,01:00:00,0.0,000,27.0,32.77,1002.81,0.00,1009.02,6.00,0.00,92
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,24.0,10-13-2019,01:00:00,0.0,000,25.6,29.82,994.52,0.00,1011.10,10.00,0.00,91
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,22.5,10-13-2019,01:00:00,9.3,130,25.2,27.28,986.20,0.00,1008.69,10.00,0.00,85
48376,TAK,ตาก,ตาก,16.87833,99.14333,24.6,10-13-2019,01:00:00,0.0,000,26.5,30.97,995.82,0.00,1010.28,6.00,0.00,89
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,24.3,10-13-2019,01:00:00,0.0,000,25.0,30.32,993.35,0.00,1009.88,7.00,0.00,96
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,24.1,10-13-2019,01:00:00,0.0,000,27.0,30.02,1004.29,0.00,1009.53,10.00,0.00,84
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,24.1,10-13-2019,01:00:00,0.0,000,25.0,30.05,995.94,22.10,1009.25,10.00,0.00,95
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,26.1,10-13-2019,01:00:00,0.0,000,27.4,33.86,1000.54,0.00,1009.88,11.00,0.00,93
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,23.5,10-13-2019,01:00:00,0.0,000,25.8,28.87,988.23,0.00,1010.06,8.00,0.00,87
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,25.2,10-13-2019,01:00:00,5.6,110,27.8,32.12,993.16,0.00,1010.68,10.00,0.00,86
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,23.6,10-13-2019,01:00:00,0.0,000,26.5,29.08,993.74,0.00,1009.64,10.00,0.00,84
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,23.5,10-13-2019,01:00:00,0.0,000,25.0,29.00,990.48,2.00,1009.54,7.00,0.00,92
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,21.0,10-13-2019,01:00:00,0.0,000,22.5,24.80,959.96,15.00,1011.97,6.00,0.00,91
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,25.1,10-13-2019,01:00:00,0.0,000,26.1,31.85,1005.52,0.20,1009.50,4.00,0.00,94
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.6,10-13-2019,01:00:00,0.0,000,21.1,24.30,915.77,0.20,1011.40,7.00,0.00,97
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,25.5,10-13-2019,01:00:00,0.0,000,26.8,32.66,994.53,0.00,1010.58,6.00,0.00,93
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,24.6,10-13-2019,01:00:00,0.0,000,26.3,30.86,1005.99,0.01,1010.05,6.00,0.00,90
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,24.1,10-13-2019,01:00:00,0.0,000,25.0,30.05,999.80,0.00,1010.58,7.00,0.00,95
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,24.1,10-13-2019,01:00:00,0.0,000,26.4,29.97,1008.35,0.00,1010.29,8.00,0.00,87
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,23.9,10-13-2019,01:00:00,0.0,000,24.8,29.69,989.45,11.40,1010.53,10.00,0.00,95
