WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,WindSpeed,Rainfall24Hr,RelativeHumidity,DewPoint,LandVisibility,StationPressure,Rainfall,AirTemperature,VaporPressure,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,10-13-2019,04:00:00,0.0,0.00,92,23.4,5.00,978.89,0.00,24.7,28.72,1010.03
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,200,10-13-2019,04:00:00,13.0,0.00,86,17.0,8.00,847.27,0.00,19.5,19.39,1008.41
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,000,10-13-2019,04:00:00,0.0,0.00,91,22.5,10.00,966.23,0.00,24.0,27.25,1010.22
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,10-13-2019,04:00:00,0.0,0.00,93,22.1,12.00,964.20,0.00,23.3,26.58,1010.21
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,10-13-2019,04:00:00,0.0,0.00,99,22.5,5.00,972.74,0.00,22.7,27.32,1010.90
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,000,10-13-2019,04:00:00,0.0,0.00,96,23.4,7.00,964.86,0.00,24.1,28.70,1010.31
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,000,10-13-2019,04:00:00,0.0,0.00,95,22.9,5.00,984.07,0.00,23.8,27.92,1011.11
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,000,10-13-2019,04:00:00,0.0,12.30,97,24.1,6.00,987.80,0.00,24.5,29.93,1009.75
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,10-13-2019,04:00:00,0.0,0.00,96,23.3,5.00,985.66,0.00,24.0,28.53,1010.01
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,000,10-13-2019,04:00:00,0.0,0.80,88,23.5,10.00,975.05,0.00,25.7,28.95,1009.68
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,10-13-2019,04:00:00,0.0,0.00,96,24.3,10.00,983.01,0.00,25.0,30.32,1010.76
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,10-13-2019,04:00:00,0.0,0.00,93,24.0,10.00,976.44,0.00,25.2,29.89,1010.21
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,000,10-13-2019,04:00:00,0.0,0.00,92,23.5,5.00,991.10,0.00,25.0,29.00,1009.75
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,10-13-2019,04:00:00,0.0,2.00,94,23.5,10.00,987.16,0.00,24.5,28.89,1010.20
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,10-13-2019,04:00:00,0.0,0.00,96,22.4,6.00,979.99,0.00,23.0,27.07,1010.30
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,10-13-2019,04:00:00,0.0,0.00,91,22.9,7.00,974.18,0.00,24.4,27.94,1009.99
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,000,10-13-2019,04:00:00,0.0,0.00,96,22.6,8.00,979.72,0.00,23.2,27.41,1009.82
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,10-13-2019,04:00:00,0.0,0.00,86,23.8,8.00,1001.90,0.00,26.4,29.43,1009.23
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,130,10-13-2019,04:00:00,9.3,0.00,86,24.0,5.00,990.85,0.00,26.6,29.80,1010.83
48353,LOEI,เลย,เลย,17.45000,101.73333,300,10-13-2019,04:00:00,3.7,0.00,88,22.3,8.00,981.49,0.00,24.4,26.93,1010.45
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,080,10-13-2019,04:00:00,1.9,0.00,89,23.7,10.00,989.83,0.00,25.6,29.29,1010.15
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,000,10-13-2019,04:00:00,0.0,0.00,95,22.6,10.00,989.38,0.00,23.5,27.41,1011.43
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,180,10-13-2019,04:00:00,3.7,0.00,76,21.2,10.00,990.53,0.00,25.7,25.11,1010.15
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,000,10-13-2019,04:00:00,0.0,0.00,79,21.3,10.00,993.92,0.00,25.2,25.27,1010.82
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,000,10-13-2019,04:00:00,0.0,0.00,86,22.4,10.00,993.58,0.00,24.9,27.02,1011.17
