WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,Rainfall24Hr,MinimumTemperature,MeanSeaLevelPressure,VaporPressure,StationPressure,WindSpeed,RelativeHumidity,Rainfall,WindDirection,LandVisibility,AirTemperature
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.0,10-13-2019,07:00:00,0.00,19.1,1012.28,21.93,850.82,14.8,93,0.00,200,8.00,20.1
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,22.8,10-13-2019,07:00:00,0.00,23.4,1011.45,27.68,967.42,0.0,92,0.00,000,10.00,24.1
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,22.2,10-13-2019,07:00:00,0.00,21.7,1011.68,26.83,965.55,0.0,96,0.00,000,15.00,23.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,22.2,10-13-2019,07:00:00,0.00,21.9,1012.56,26.74,974.28,0.0,100,0.00,000,8.00,22.2
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.0,10-13-2019,07:00:00,0.00,22.5,1011.62,28.17,966.02,0.0,97,0.00,000,7.00,23.5
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,22.8,10-13-2019,07:00:00,0.00,22.9,1012.61,27.75,985.50,0.0,96,0.00,000,.50,23.4
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,23.9,10-13-2019,07:00:00,12.30,24.0,1011.06,29.66,989.06,0.0,98,0.00,000,9.00,24.2
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,23.6,10-13-2019,07:00:00,0.00,22.0,1011.53,29.13,987.15,0.0,97,0.00,000,4.00,24.2
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,23.4,10-13-2019,07:00:00,1.30,25.0,1011.40,28.75,976.65,0.0,89,0.50,000,10.00,25.3
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,23.9,10-13-2019,07:00:00,0.00,24.0,1012.24,29.69,984.43,0.0,95,0.00,000,10.00,24.8
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,24.1,10-13-2019,07:00:00,0.00,25.0,1011.16,29.97,977.35,0.0,94,0.00,000,7.00,25.1
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,23.7,10-13-2019,07:00:00,0.00,24.3,1010.95,29.36,992.30,0.0,92,0.00,000,8.00,25.2
48331,NAN,น่าน,น่าน,18.77972,100.77778,23.2,10-13-2019,07:00:00,2.00,23.5,1011.45,28.44,988.35,0.0,95,0.00,000,10.00,24.1
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,22.1,10-13-2019,07:00:00,0.00,22.8,1011.78,26.66,981.45,0.0,94,0.00,000,6.00,23.2
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,22.8,10-13-2019,07:00:00,0.00,23.4,1011.64,27.66,975.66,0.0,96,0.00,000,8.00,23.5
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,23.1,10-13-2019,07:00:00,0.00,23.0,1011.28,28.27,981.21,0.0,95,0.00,000,5.00,24.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,24.6,10-13-2019,07:00:00,0.00,25.6,1010.74,30.84,1003.39,0.0,92,0.00,000,9.00,26.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,24.2,10-13-2019,07:00:00,0.00,25.4,1011.50,30.26,991.51,5.6,86,0.00,070,5.00,26.7
48353,LOEI,เลย,เลย,17.45000,101.73333,22.5,10-13-2019,07:00:00,0.00,23.5,1011.58,27.25,982.55,0.0,91,0.00,000,7.00,24.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,23.8,10-13-2019,07:00:00,0.00,24.9,1011.10,29.39,990.79,5.6,89,0.00,110,8.00,25.8
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,21.6,10-13-2019,07:00:00,0.00,23.0,1012.11,25.76,990.07,0.0,86,0.00,000,10.00,24.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,21.1,10-13-2019,07:00:00,0.00,24.4,1011.93,25.02,992.27,5.6,77,0.00,120,12.00,25.5
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,20.6,10-13-2019,07:00:00,0.00,24.1,1012.37,24.28,995.50,0.0,72,0.00,000,10.00,26.1
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,21.7,10-13-2019,07:00:00,0.00,21.6,1012.60,26.01,994.99,0.0,83,0.00,000,7.00,24.9
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,23.3,10-13-2019,07:00:00,0.00,24.6,1010.28,28.59,984.31,0.0,88,0.00,000,9.00,25.5
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,25.6,10-13-2019,07:00:00,0.00,25.5,1010.18,32.86,1004.38,0.0,93,0.00,000,8.00,26.9
