WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,VaporPressure,WindSpeed,StationPressure,AirTemperature,DewPoint,MeanSeaLevelPressure,Rainfall24Hr,LandVisibility,WindDirection,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,2.90,10-13-2019,22:00:00,28.96,0.0,981.28,24.1,23.5,1012.56,3.30,8.00,000,97
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1.10,10-13-2019,22:00:00,19.52,7.4,849.61,17.3,17.1,1012.50,15.30,7.00,130,99
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.80,10-13-2019,22:00:00,27.35,0.0,969.01,24.5,22.6,1013.06,8.40,10.00,000,89
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,10-13-2019,22:00:00,28.53,0.0,966.82,24.0,23.3,1012.84,0.50,10.00,000,96
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,21.20,10-13-2019,22:00:00,27.07,0.0,976.40,22.4,22.4,1014.73,28.40,4.00,000,100
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,10-13-2019,22:00:00,29.46,0.0,967.99,25.4,23.8,1013.38,0.00,10.00,000,91
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.70,10-13-2019,22:00:00,27.94,0.0,986.84,24.4,22.9,1013.89,0.90,7.00,000,91
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,10-13-2019,22:00:00,30.03,0.0,990.23,24.7,24.1,1012.22,12.90,12.00,000,97
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,10-13-2019,22:00:00,28.89,0.0,987.58,24.5,23.5,1011.94,0.90,6.00,000,94
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,10-13-2019,22:00:00,28.07,0.0,978.13,25.5,23.0,1012.90,6.60,10.00,000,86
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,10-13-2019,22:00:00,28.27,0.0,985.41,24.0,23.1,1013.32,0.30,10.00,000,95
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,10-13-2019,22:00:00,28.64,0.0,978.18,24.8,23.3,1012.05,0.20,10.00,000,92
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,10-13-2019,22:00:00,31.08,0.0,993.75,25.7,24.7,1012.40,0.00,5.00,000,94
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,10-13-2019,22:00:00,30.17,0.0,990.07,25.5,24.2,1013.09,8.50,10.00,000,93
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,10-13-2019,22:00:00,28.83,0.0,983.13,25.2,23.4,1013.31,0.00,9.00,000,90
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,10-13-2019,22:00:00,29.41,0.0,977.42,24.5,23.8,1013.34,0.30,7.00,000,96
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,10-13-2019,22:00:00,28.53,0.0,982.40,24.0,23.3,1012.50,1.30,10.00,000,96
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,10-13-2019,22:00:00,32.02,0.0,1004.32,26.9,25.2,1011.66,10.30,8.00,000,90
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,10-13-2019,22:00:00,30.23,3.7,992.36,28.4,24.2,1012.26,0.00,5.00,040,78
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,10-13-2019,22:00:00,29.18,0.0,983.90,25.1,23.6,1012.86,0.40,10.00,000,92
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,10-13-2019,22:00:00,28.37,0.0,992.08,26.4,23.2,1012.39,0.00,12.00,000,82
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,10-13-2019,22:00:00,25.35,0.0,991.00,24.5,21.3,1013.02,0.00,12.00,000,82
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,10-13-2019,22:00:00,24.96,3.7,993.14,26.8,21.1,1012.73,0.00,12.00,170,71
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,10-13-2019,22:00:00,23.97,1.9,996.50,28.0,20.4,1013.28,0.00,10.00,080,63
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,10-13-2019,22:00:00,26.02,0.0,995.89,25.5,21.7,1013.49,0.00,10.00,000,80
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,10-13-2019,22:00:00,28.18,0.0,985.22,26.0,23.1,1011.17,0.00,11.00,000,84
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,10-13-2019,22:00:00,32.86,0.0,1005.46,26.9,25.6,1011.27,0.00,8.00,000,93
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,10-13-2019,22:00:00,32.28,0.0,1004.24,27.6,25.3,1010.44,0.00,6.00,000,87
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,10-13-2019,22:00:00,30.02,0.0,995.80,27.0,24.1,1012.32,0.00,10.00,000,84
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,10-13-2019,22:00:00,28.59,0.0,987.23,25.5,23.3,1009.72,0.00,8.00,000,88
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,10-13-2019,22:00:00,31.41,0.0,997.88,26.3,24.9,1012.37,24.70,7.00,000,92
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,10-13-2019,22:00:00,30.05,0.0,995.61,25.0,24.1,1012.18,7.70,8.00,000,95
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,10-13-2019,22:00:00,30.67,5.6,1006.44,28.2,24.5,1011.67,0.00,10.00,120,80
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,10-13-2019,22:00:00,31.13,0.0,996.93,26.3,24.7,1010.20,0.60,10.00,000,91
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,4.10,10-13-2019,22:00:00,32.71,0.0,1002.16,26.4,25.5,1011.54,4.90,10.00,000,95
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,10-13-2019,22:00:00,23.88,5.6,990.17,27.2,20.3,1011.95,0.00,9.00,090,66
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,10-13-2019,22:00:00,30.02,0.0,993.20,27.0,24.1,1010.77,0.00,10.00,000,84
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,10-13-2019,22:00:00,24.79,3.7,996.55,27.0,21.0,1012.47,0.00,10.00,100,70
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,10-13-2019,22:00:00,27.29,0.0,992.13,25.5,22.5,1011.19,0.00,8.00,000,84
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,10-13-2019,22:00:00,26.27,0.0,960.99,25.2,21.9,1012.57,10.10,7.00,000,82
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.01,10-13-2019,22:00:00,31.11,25.9,1007.24,28.0,24.7,1011.20,0.01,6.00,080,82
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,10-13-2019,22:00:00,25.37,7.4,916.75,22.1,21.3,1012.14,3.80,5.00,020,95
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,10-13-2019,22:00:00,27.99,0.0,995.73,25.6,22.9,1011.87,0.00,8.00,000,85
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,10-13-2019,22:00:00,31.51,0.0,1006.98,28.2,24.9,1011.02,0.00,9.00,000,82
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,10-13-2019,22:00:00,30.45,0.0,1000.88,27.8,24.3,1011.57,0.00,8.00,000,82
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,10-13-2019,22:00:00,33.99,0.0,1009.46,29.0,26.2,1011.39,0.00,9.00,000,85
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,10-13-2019,22:00:00,25.80,5.6,990.52,28.9,21.6,1011.34,0.00,10.00,050,65
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,10-13-2019,22:00:00,27.96,3.7,993.83,25.0,22.9,1011.69,0.10,10.00,040,88
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,10-13-2019,22:00:00,25.30,0.0,995.23,27.0,21.3,1011.46,0.00,10.00,000,71
