WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,LandVisibility,Rainfall,VaporPressure,WindDirection,MeanSeaLevelPressure,AirTemperature,DewPoint,Rainfall24Hr,StationPressure,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,88,10-14-2019,10:00:00,5.00,0.00,28.59,000,1015.02,25.5,23.3,3.30,983.81,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,89,10-14-2019,10:00:00,8.00,0.00,18.21,200,1016.28,17.9,16.0,15.30,853.08,22.2
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,82,10-14-2019,10:00:00,10.00,0.00,28.47,060,1015.66,26.6,23.2,30.10,971.81,3.7
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,80,10-14-2019,10:00:00,15.00,0.00,27.77,000,1015.98,26.5,22.8,13.00,970.18,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,96,10-14-2019,10:00:00,12.00,0.00,30.32,000,1016.46,25.0,24.3,29.80,978.39,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,85,10-14-2019,10:00:00,10.00,0.00,28.70,070,1016.31,26.0,23.4,0.00,970.87,3.7
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,75,10-14-2019,10:00:00,10.00,0.00,27.83,010,1016.09,27.7,22.9,1.10,989.27,5.6
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,80,10-14-2019,10:00:00,10.00,0.00,31.06,030,1014.62,28.4,24.7,12.90,992.85,5.6
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,86,10-14-2019,10:00:00,10.00,0.00,29.25,000,1015.05,26.3,23.7,0.90,990.76,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,76,10-14-2019,10:00:00,10.00,0.10,28.37,360,1015.25,27.7,23.2,6.20,980.65,3.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,86,10-14-2019,10:00:00,10.00,0.00,30.26,000,1015.73,26.7,24.2,0.30,988.00,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,87,10-14-2019,10:00:00,8.00,0.00,30.16,250,1015.21,26.5,24.2,0.20,981.42,3.7
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,90,10-14-2019,10:00:00,5.00,0.01,32.41,030,1014.91,27.1,25.4,0.01,996.30,1.9
48331,NAN,น่าน,น่าน,18.77972,100.77778,77,10-14-2019,10:00:00,10.00,0.00,28.82,340,1015.57,27.8,23.4,8.50,992.66,5.6
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,72,10-14-2019,10:00:00,12.00,0.00,27.06,000,1015.66,28.0,22.4,0.00,985.69,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,84,10-14-2019,10:00:00,8.00,0.00,29.45,000,1015.54,26.7,23.8,0.30,979.81,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,63,10-14-2019,10:00:00,12.00,0.00,25.19,140,1014.88,29.0,21.2,1.30,985.20,13.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,72,10-14-2019,10:00:00,10.00,0.00,31.31,000,1014.16,30.5,24.8,10.30,1006.89,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,61,10-14-2019,10:00:00,8.00,0.00,27.27,140,1014.93,31.0,22.5,0.00,995.15,14.8
48353,LOEI,เลย,เลย,17.45000,101.73333,57,10-14-2019,10:00:00,12.00,0.00,26.32,150,1014.68,31.5,21.9,0.40,986.27,7.4
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,58,10-14-2019,10:00:00,15.00,0.00,24.73,070,1015.13,30.2,20.9,0.00,995.02,7.4
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,59,10-14-2019,10:00:00,15.00,0.00,25.15,130,1015.33,30.0,21.2,0.00,993.66,5.6
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,56,10-14-2019,10:00:00,12.00,0.00,24.48,100,1014.81,30.5,20.8,0.00,995.41,11.1
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,51,10-14-2019,10:00:00,11.00,0.00,23.66,080,1015.13,31.5,20.2,0.00,998.50,5.6
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,56,10-14-2019,10:00:00,10.00,0.00,23.60,090,1015.52,30.0,20.2,0.00,998.14,3.7
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,56,10-14-2019,10:00:00,9.00,0.00,23.60,110,1014.03,30.0,20.2,0.00,988.35,18.5
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,67,10-14-2019,10:00:00,8.00,0.00,33.22,030,1014.64,32.8,25.8,0.00,1008.92,5.6
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,68,10-14-2019,10:00:00,8.00,0.00,33.39,030,1014.58,32.6,25.9,0.00,1008.46,3.7
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,65,10-14-2019,10:00:00,12.00,0.00,27.55,000,1014.94,30.0,22.7,0.00,998.54,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,81,10-14-2019,10:00:00,10.00,7.90,29.60,310,1012.41,27.5,23.9,11.90,990.01,3.7
48376,TAK,ตาก,ตาก,16.87833,99.14333,78,10-14-2019,10:00:00,8.00,0.00,33.17,000,1015.07,30.0,25.8,10.40,1000.71,0.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,70,10-14-2019,10:00:00,12.00,0.00,30.46,000,1014.35,30.5,24.3,7.20,998.04,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,65,10-14-2019,10:00:00,10.00,0.00,29.20,160,1014.32,31.0,23.6,0.01,1009.13,5.6
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,53,10-14-2019,10:00:00,12.00,0.00,23.91,340,1012.78,31.2,20.4,0.60,999.69,9.3
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,66,10-14-2019,10:00:00,12.00,0.00,30.08,000,1014.34,31.3,24.1,4.10,1005.08,0.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,59,10-14-2019,10:00:00,8.00,0.00,26.65,080,1014.91,31.1,22.1,0.00,993.35,13.0
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,65,10-14-2019,10:00:00,10.00,0.00,27.85,100,1014.96,30.3,22.9,0.00,997.52,9.3
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,61,10-14-2019,10:00:00,12.00,0.00,27.27,070,1014.40,31.0,22.5,0.00,998.66,5.6
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,65,10-14-2019,10:00:00,10.00,0.00,26.70,050,1013.98,29.4,22.2,0.00,995.12,13.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,87,10-14-2019,10:00:00,11.00,0.00,27.97,000,1013.51,25.3,22.9,28.30,961.90,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,69,10-14-2019,10:00:00,8.00,0.00,30.58,000,1013.81,30.7,24.4,9.10,1009.87,0.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,83,10-14-2019,10:00:00,8.00,0.00,24.94,070,1014.67,24.1,21.1,16.10,919.65,14.8
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,67,10-14-2019,10:00:00,12.00,0.00,27.88,050,1010.60,29.6,22.9,0.00,994.70,3.7
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,64,10-14-2019,10:00:00,10.00,0.00,28.65,060,1014.26,31.0,23.3,1.30,1010.25,3.7
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,56,10-14-2019,10:00:00,10.00,0.00,24.48,000,1015.19,30.5,20.8,0.00,1004.55,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,63,10-14-2019,10:00:00,10.00,0.00,28.09,090,1014.49,31.0,23.0,0.00,1012.57,5.6
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,57,10-14-2019,10:00:00,10.00,0.00,23.77,010,1014.62,29.8,20.3,0.00,993.80,18.5
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,63,10-14-2019,10:00:00,10.00,0.00,26.74,080,1014.19,30.0,22.2,0.10,996.57,11.1
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,58,10-14-2019,10:00:00,10.00,0.00,26.19,130,1014.09,31.0,21.9,0.00,998.03,13.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,54,10-14-2019,10:00:00,10.00,0.00,24.15,110,1014.35,30.9,20.5,0.00,1000.40,7.4
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,58,10-14-2019,10:00:00,10.00,0.00,25.45,000,1014.58,30.6,21.4,0.00,999.81,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,72,10-14-2019,10:00:00,10.00,0.00,28.91,110,1014.68,29.0,23.5,5.30,1000.00,3.7
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,61,10-14-2019,10:00:00,10.00,0.00,27.46,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1013.58,31.1,22.6,0.10,1010.58,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,55,10-14-2019,10:00:00,10.00,0.00,24.32,110,1014.12,30.7,20.6,16.70,1006.21,5.6
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,68,10-14-2019,10:00:00,10.00,0.00,31.64,070,1013.68,31.5,25.0,0.00,1012.58,5.6
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,72,10-14-2019,10:00:00,8.00,0.00,27.06,000,1014.34,28.0,22.4,6.20,999.60,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,66,10-14-2019,10:00:00,9.00,0.00,20.28,160,1012.40,24.6,17.7,1.80,878.82,7.4
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,63,10-14-2019,10:00:00,10.00,0.00,26.37,110,1014.76,29.8,22.0,0.00,1008.89,7.4
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,73,10-14-2019,10:00:00,9.00,6.00,31.15,000,1013.93,30.0,24.7,6.00,1013.13,0.0
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,71,10-14-2019,10:00:00,10.00,3.60,30.31,000,1013.81,30.0,24.3,8.70,1013.37,0.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,74,10-14-2019,10:00:00,10.00,0.00,31.64,000,1013.78,30.1,25.0,2.50,1002.52,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,81,10-14-2019,10:00:00,8.00,0.00,33.50,000,1014.16,29.6,25.9,23.10,1013.15,0.0
