WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,WindSpeed,MeanSeaLevelPressure,WindDirection,DewPoint,StationPressure,Rainfall24Hr,VaporPressure,LandVisibility,AirTemperature,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,86,10-14-2019,13:00:00,0.0,1013.41,000,24.2,982.38,4.80,30.18,8.00,26.8,1.50
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,90,10-14-2019,13:00:00,27.8,1014.01,200,18.2,852.12,10.70,20.86,6.00,19.8,5.60
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,68,10-14-2019,13:00:00,7.4,1013.19,150,22.1,969.73,30.10,26.57,12.00,28.6,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,73,10-14-2019,13:00:00,11.1,1013.53,150,22.3,968.00,13.00,26.95,15.00,27.5,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,85,10-14-2019,13:00:00,0.0,1013.84,000,25.1,976.24,30.00,31.95,12.00,28.0,0.20
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,95,10-14-2019,13:00:00,3.7,1015.17,290,22.6,969.41,6.80,27.41,10.00,23.5,6.80
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,64,10-14-2019,13:00:00,0.0,1013.77,000,23.1,987.26,1.10,28.34,12.00,30.7,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,54,10-14-2019,13:00:00,13.0,1012.22,120,21.7,990.76,1.40,26.01,12.00,32.2,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,95,10-14-2019,13:00:00,0.0,1013.94,000,22.4,989.44,3.90,27.08,8.00,23.3,3.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,91,10-14-2019,13:00:00,5.6,1014.65,240,22.5,979.65,28.70,27.17,3.00,24.1,22.50
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,70,10-14-2019,13:00:00,0.0,1013.16,000,24.5,985.85,0.30,30.74,10.00,30.5,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,93,10-14-2019,13:00:00,0.0,1014.07,000,23.8,980.15,13.30,29.52,8.00,25.0,13.10
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,61,10-14-2019,13:00:00,3.7,1012.10,310,24.1,993.86,0.01,29.95,12.00,32.5,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,60,10-14-2019,13:00:00,0.0,1012.60,000,23.3,990.07,8.50,28.66,10.00,32.0,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,60,10-14-2019,13:00:00,0.0,1012.86,000,22.8,983.30,0.00,27.68,12.00,31.5,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,76,10-14-2019,13:00:00,0.0,1013.14,000,24.1,977.72,0.30,29.98,8.00,28.7,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,48,10-14-2019,13:00:00,13.0,1012.07,100,20.9,982.89,0.70,24.75,16.00,33.4,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,53,10-14-2019,13:00:00,0.0,1011.81,000,23.2,1004.64,10.30,28.43,10.00,34.0,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,53,10-14-2019,13:00:00,16.7,1012.83,120,22.0,993.22,0.00,26.45,8.00,33.0,0.00
