WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,LandVisibility,DewPoint,RelativeHumidity,WindDirection,WindSpeed,Rainfall24Hr,Rainfall,MeanSeaLevelPressure,MinimumTemperature,AirTemperature,StationPressure
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,22.16,10-15-2019,07:00:00,8.00,19.1,94,200,14.8,5.60,0.00,1015.14,17.9,20.1,853.22
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,25.84,10-15-2019,07:00:00,10.00,21.6,92,090,1.9,7.40,0.00,1015.88,22.1,23.0,971.49
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,25.29,10-15-2019,07:00:00,15.00,21.3,95,000,0.0,0.00,0.00,1016.11,21.4,22.2,969.66
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,26.10,10-15-2019,07:00:00,8.00,21.8,100,000,0.0,5.30,0.00,1016.30,21.2,21.8,977.83
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,27.32,10-15-2019,07:00:00,10.00,22.5,97,000,0.0,6.80,0.00,1016.58,21.6,23.0,970.69
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,25.28,10-15-2019,07:00:00,7.00,21.3,93,000,0.0,0.00,0.00,1016.45,22.2,22.5,989.16
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,26.66,10-15-2019,07:00:00,7.00,22.1,97,000,0.0,0.00,0.00,1014.43,22.2,22.6,992.24
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,26.83,10-15-2019,07:00:00,7.00,22.2,96,000,0.0,3.20,0.00,1015.02,21.4,23.0,990.46
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,24.97,10-15-2019,07:00:00,10.00,21.1,93,000,0.0,61.10,0.00,1015.82,21.9,22.3,980.58
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,26.25,10-15-2019,07:00:00,.30,21.9,98,000,0.0,10.80,0.00,1016.50,21.6,22.2,988.33
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,26.01,10-15-2019,07:00:00,6.00,21.7,94,000,0.0,13.20,0.00,1015.88,22.6,22.8,981.66
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,26.33,10-15-2019,07:00:00,4.00,21.9,96,000,0.0,0.01,0.00,1014.94,21.9,22.7,996.05
48331,NAN,น่าน,น่าน,18.77972,100.77778,26.50,10-15-2019,07:00:00,.60,22.0,97,000,0.0,0.00,0.00,1015.86,22.0,22.5,992.54
