WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,WindSpeed,WindDirection,VaporPressure,Rainfall,DewPoint,Rainfall24Hr,RelativeHumidity,StationPressure,LandVisibility,AirTemperature,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,10-15-2019,22:00:00,0.0,000,29.41,0.00,23.8,0.00,87,983.47,10.00,26.1,1014.61
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,10-15-2019,22:00:00,9.3,120,20.41,1.20,17.8,6.30,99,851.80,8.00,18.0,1014.69
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10-15-2019,22:00:00,0.0,000,27.20,0.00,22.5,0.00,84,971.34,10.00,25.3,1015.37
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,10-15-2019,22:00:00,0.0,000,27.09,0.00,22.4,0.00,90,969.31,15.00,24.2,1015.42
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,10-15-2019,22:00:00,0.0,000,29.29,0.00,23.7,14.40,100,976.90,6.00,23.7,1015.08
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,10-15-2019,22:00:00,3.7,030,27.07,36.20,22.4,36.70,96,970.50,10.00,23.0,1016.39
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,10-15-2019,22:00:00,0.0,000,27.42,0.00,22.6,0.80,93,989.07,7.00,23.8,1016.25
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,10-15-2019,22:00:00,3.7,080,27.66,11.00,22.8,11.00,96,992.27,10.00,23.5,1014.39
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,10-15-2019,22:00:00,0.0,000,29.41,0.30,23.8,0.30,96,990.33,6.00,24.5,1014.76
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10-15-2019,22:00:00,0.0,000,28.33,0.01,23.1,0.01,87,980.58,10.00,25.5,1015.44
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10-15-2019,22:00:00,0.0,000,27.87,0.00,22.9,1.00,89,988.66,10.00,24.8,1016.58
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10-15-2019,22:00:00,0.0,000,28.27,0.00,23.1,5.00,95,980.93,8.00,24.0,1014.99
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,10-15-2019,22:00:00,1.9,150,28.41,0.00,23.2,0.00,88,995.80,6.00,25.4,1014.51
48331,NAN,น่าน,น่าน,18.77972,100.77778,10-15-2019,22:00:00,0.0,000,26.99,0.30,22.3,8.40,94,992.12,10.00,23.4,1015.36
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,10-15-2019,22:00:00,0.0,000,25.52,0.01,21.4,29.30,94,985.16,6.00,22.5,1015.68
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,10-15-2019,22:00:00,0.0,000,29.41,0.00,23.8,11.20,96,979.14,7.00,24.5,1015.12
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,10-15-2019,22:00:00,0.0,000,27.83,0.00,22.8,4.90,97,984.77,10.00,23.3,1015.01
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,10-15-2019,22:00:00,0.0,000,30.12,0.10,24.2,3.70,84,1006.15,8.00,27.2,1013.49
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,10-15-2019,22:00:00,7.4,080,27.36,0.00,22.6,0.00,77,994.65,5.00,27.0,1014.69
48353,LOEI,เลย,เลย,17.45000,101.73333,10-15-2019,22:00:00,0.0,000,26.84,0.00,22.3,0.01,87,985.94,12.00,24.5,1015.02
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,10-15-2019,22:00:00,0.0,000,26.87,0.00,22.3,0.00,81,994.34,12.00,25.7,1014.74
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,10-15-2019,22:00:00,0.0,000,25.84,0.00,21.6,11.50,92,993.58,10.00,23.0,1015.77
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,10-15-2019,22:00:00,7.4,090,25.29,0.00,21.3,2.00,74,994.78,10.00,26.4,1014.44
