WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,MeanSeaLevelPressure,RelativeHumidity,WindDirection,DewPoint,Rainfall,AirTemperature,WindSpeed,Rainfall24Hr,VaporPressure,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,12.00,10-17-2019,10:00:00,1014.89,72,060,22.4,0.00,27.9,3.7,0.01,27.14,983.92
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,8.00,10-17-2019,10:00:00,1015.42,97,140,18.0,0.00,18.5,7.4,0.00,20.63,852.66
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10.00,10-17-2019,10:00:00,1015.74,70,090,22.2,0.00,28.3,9.3,0.00,26.81,972.12
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,15.00,10-17-2019,10:00:00,1015.93,70,000,22.1,0.00,28.0,0.0,0.00,26.54,970.36
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,12.00,10-17-2019,10:00:00,1016.53,81,000,23.7,0.00,27.3,0.0,2.30,29.23,978.74
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,7.00,10-17-2019,10:00:00,1015.97,81,000,23.9,0.00,27.5,0.0,0.00,29.60,970.77
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,10.00,10-17-2019,10:00:00,1016.53,74,000,23.1,0.00,28.1,0.0,0.00,28.30,989.73
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,10.00,10-17-2019,10:00:00,1014.84,68,000,23.5,0.00,30.0,0.0,2.10,28.91,993.18
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,10.00,10-17-2019,10:00:00,1014.57,74,000,23.8,0.00,28.9,0.0,0.00,29.54,990.50
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,10-17-2019,10:00:00,1015.77,70,000,22.9,0.00,29.0,0.0,0.00,27.83,981.29
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10.00,10-17-2019,10:00:00,1015.91,75,000,23.7,0.00,28.6,0.0,0.00,29.24,988.35
