WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,RelativeHumidity,MeanSeaLevelPressure,LandVisibility,Rainfall,WindSpeed,StationPressure,Rainfall24Hr,AirTemperature,DewPoint,VaporPressure,MaximumTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,300,10-17-2019,19:00:00,92,1012.16,10.00,7.30,3.7,980.97,7.30,24.9,23.4,28.82,33.3
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,000,10-17-2019,19:00:00,98,1012.22,8.00,0.00,0.0,849.82,0.00,18.2,17.9,20.45,19.5
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,330,10-17-2019,19:00:00,72,1011.11,10.00,0.00,5.6,967.65,0.00,28.0,22.5,27.32,32.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,10-17-2019,19:00:00,86,1012.21,12.00,0.00,0.0,966.51,0.00,26.0,23.5,28.97,32.1
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,10-17-2019,19:00:00,90,1012.55,8.00,0.00,0.0,974.71,0.00,25.7,23.9,29.74,32.7
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,000,10-17-2019,19:00:00,85,1012.07,10.00,0.00,0.0,966.91,0.00,26.6,23.8,29.54,32.2
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,000,10-17-2019,19:00:00,90,1012.58,8.00,0.00,0.0,985.73,5.50,26.3,24.6,30.86,33.2
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,120,10-17-2019,19:00:00,83,1011.10,10.00,0.00,3.7,989.31,2.10,27.0,23.8,29.48,34.2
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,10-17-2019,19:00:00,78,1010.32,10.00,0.00,0.0,986.31,0.00,28.5,24.2,30.15,35.8
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,000,10-17-2019,19:00:00,76,1011.52,10.00,0.01,0.0,977.09,0.01,28.1,23.4,28.84,33.4
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,060,10-17-2019,19:00:00,74,1011.63,10.00,0.00,5.6,984.20,0.00,28.8,23.7,29.35,34.7
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,10-17-2019,19:00:00,77,1011.46,10.00,0.00,0.0,977.80,2.20,26.5,22.0,26.47,33.2
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,000,10-17-2019,19:00:00,78,1010.68,12.00,0.00,0.0,992.26,0.00,29.0,24.7,31.13,35.1
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,10-17-2019,19:00:00,79,1012.05,10.00,0.00,0.0,989.19,0.00,27.4,23.5,28.88,32.8
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,10-17-2019,19:00:00,86,1011.90,10.00,0.00,0.0,981.81,0.00,25.7,23.2,28.42,32.8
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,10-17-2019,19:00:00,79,1011.33,8.00,0.00,0.0,975.85,0.00,27.7,23.8,29.44,32.5
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,000,10-17-2019,19:00:00,82,1011.34,10.00,0.00,0.0,981.47,0.00,26.0,22.7,27.66,33.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,10-17-2019,19:00:00,60,1010.16,10.00,0.00,0.0,1002.93,0.00,31.4,22.8,27.76,36.1
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,000,10-17-2019,19:00:00,68,1011.40,10.00,0.00,0.0,991.64,0.00,30.3,23.8,29.50,34.3
48353,LOEI,เลย,เลย,17.45000,101.73333,000,10-17-2019,19:00:00,69,1011.24,12.00,0.00,0.0,982.62,0.10,28.2,22.0,26.37,33.3
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,100,10-17-2019,19:00:00,68,1011.62,10.00,0.00,3.7,991.51,0.00,29.0,22.4,27.03,33.3
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,000,10-17-2019,19:00:00,72,1011.88,12.00,0.00,0.0,990.06,0.00,26.9,21.5,25.63,32.9
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,100,10-17-2019,19:00:00,64,1011.28,12.00,0.00,3.7,991.83,0.00,28.8,21.3,25.36,32.9
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,070,10-17-2019,19:00:00,53,1012.44,14.00,0.00,5.6,995.69,0.00,28.4,17.9,20.45,33.4
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,000,10-17-2019,19:00:00,71,1013.02,10.00,0.00,0.0,995.49,0.00,26.6,21.0,24.87,33.2
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,000,10-17-2019,19:00:00,77,1011.51,11.00,0.00,0.0,985.72,0.00,28.0,23.5,28.92,33.2
