WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,DewPoint,RelativeHumidity,StationPressure,LandVisibility,WindDirection,Rainfall24Hr,Rainfall,VaporPressure,MeanSeaLevelPressure,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,10-17-2019,22:00:00,23.1,92,983.33,10.00,000,7.30,0.00,28.20,1014.64,24.4
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,7.4,10-17-2019,22:00:00,17.5,97,850.59,8.00,110,0.00,0.00,19.99,1013.25,18.0
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.0,10-17-2019,22:00:00,22.0,80,970.19,10.00,000,0.00,0.00,26.37,1014.10,25.7
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,10-17-2019,22:00:00,23.6,93,968.62,12.00,000,0.00,0.00,29.16,1014.61,24.8
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,10-17-2019,22:00:00,22.3,97,976.78,6.00,000,0.00,0.00,26.99,1015.08,22.8
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.0,10-17-2019,22:00:00,23.6,92,970.01,10.00,000,0.00,0.00,29.08,1015.58,24.9
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.0,10-17-2019,22:00:00,23.2,87,987.48,7.00,000,5.50,0.00,28.51,1014.45,25.6
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.0,10-17-2019,22:00:00,23.5,92,990.90,10.00,000,2.10,0.00,29.00,1012.88,25.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,10-17-2019,22:00:00,23.0,91,989.47,8.00,000,0.00,0.00,28.11,1013.88,24.5
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.0,10-17-2019,22:00:00,23.1,82,979.01,10.00,000,0.01,0.00,28.19,1013.72,26.3
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,10-17-2019,22:00:00,23.7,86,986.36,10.00,000,0.00,0.00,29.25,1014.07,26.3
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,10-17-2019,22:00:00,23.4,91,979.85,10.00,000,2.20,0.00,28.74,1013.76,25.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.0,10-17-2019,22:00:00,23.3,85,994.70,8.00,000,0.00,0.00,28.52,1013.35,25.9
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,10-17-2019,22:00:00,23.9,89,991.12,10.00,000,0.00,0.00,29.66,1014.15,25.8
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,10-17-2019,22:00:00,22.8,93,978.45,8.00,000,0.00,0.00,27.76,1014.47,24.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.0,10-17-2019,22:00:00,22.0,91,983.80,10.00,000,0.00,0.00,26.42,1014.00,23.5
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,10-17-2019,22:00:00,22.2,72,1005.57,9.00,000,0.00,0.00,26.78,1012.90,27.7
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,3.7,10-17-2019,22:00:00,23.7,79,993.92,10.00,080,0.00,0.00,29.36,1013.89,27.8
48353,LOEI,เลย,เลย,17.45000,101.73333,0.0,10-17-2019,22:00:00,22.5,84,985.00,9.00,000,0.10,0.00,27.29,1013.96,25.5
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,3.7,10-17-2019,22:00:00,22.7,78,993.65,12.00,080,0.00,0.00,27.52,1013.96,26.8
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.0,10-17-2019,22:00:00,20.9,79,992.78,12.00,000,0.00,0.00,24.78,1014.81,24.9
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,7.4,10-17-2019,22:00:00,20.1,68,994.58,10.00,140,0.00,0.00,23.46,1014.23,26.5
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,7.4,10-17-2019,22:00:00,18.4,59,998.16,14.00,080,0.00,0.00,21.12,1015.03,27.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,10-17-2019,22:00:00,19.6,71,997.71,10.00,000,0.00,0.00,22.83,1015.36,25.2
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.0,10-17-2019,22:00:00,23.7,87,987.88,9.00,000,0.00,0.00,29.23,1013.90,26.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,5.6,10-17-2019,22:00:00,25.0,82,1006.43,10.00,310,0.00,0.00,31.62,1012.22,28.4
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.0,10-17-2019,22:00:00,25.4,88,1006.69,7.00,000,0.00,0.00,32.36,1012.90,27.5
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,10-17-2019,22:00:00,22.2,74,997.65,10.00,000,0.00,0.00,26.67,1014.19,27.2
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,5.6,10-17-2019,22:00:00,22.0,77,989.29,10.00,120,0.00,0.00,26.47,1011.74,26.5
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.0,10-17-2019,22:00:00,24.4,89,999.56,7.00,000,23.40,0.00,30.59,1014.08,26.3
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,10-17-2019,22:00:00,22.9,91,997.50,8.00,000,20.00,0.00,27.86,1014.14,24.5
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,5.6,10-17-2019,22:00:00,24.5,81,1007.94,10.00,050,0.00,0.00,30.75,1013.18,28.1
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,10-17-2019,22:00:00,22.9,74,998.85,10.00,000,0.00,0.00,27.85,1012.07,28.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.0,10-17-2019,22:00:00,24.4,84,1003.92,10.00,000,0.20,0.00,30.50,1013.29,27.4
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,5.6,10-17-2019,22:00:00,21.8,73,991.80,10.00,040,0.00,0.00,26.06,1013.63,27.0
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.0,10-17-2019,22:00:00,23.7,86,995.76,10.00,000,0.00,0.00,29.25,1013.41,26.3
