,station,date,time,PM25,PM10,O3,CO,NO2,SO2
0,02t,2019-01-26,00:00:00,,,,,,
1,02t,2019-01-26,01:00:00,,,,,,
2,02t,2019-01-26,02:00:00,,,,,,
3,02t,2019-01-26,03:00:00,,,,,,
4,02t,2019-01-26,04:00:00,,,,,,
5,02t,2019-01-26,05:00:00,,,,,,
6,02t,2019-01-26,06:00:00,,,,,,
7,02t,2019-01-26,07:00:00,,,,,,
8,02t,2019-01-26,08:00:00,,,,,,
9,02t,2019-01-26,09:00:00,,,,,,
10,02t,2019-01-26,10:00:00,,,,,,
11,02t,2019-01-26,11:00:00,,,,,,
12,02t,2019-01-26,12:00:00,,,,,,
13,02t,2019-01-26,13:00:00,,,,,,
14,02t,2019-01-26,14:00:00,,,,,,
15,02t,2019-01-26,15:00:00,,,,,,
16,02t,2019-01-26,16:00:00,,,,,,
17,02t,2019-01-26,17:00:00,,,,,,
18,02t,2019-01-26,18:00:00,,,,,,
19,02t,2019-01-26,19:00:00,,,,,,
20,02t,2019-01-26,20:00:00,,,,,,
21,02t,2019-01-26,21:00:00,,,,,,
22,02t,2019-01-26,22:00:00,,,,,,
23,02t,2019-01-26,23:00:00,,,,,,
24,03t,2019-01-26,00:00:00,108.0,167.0,,,,
25,03t,2019-01-26,01:00:00,113.0,160.0,4.0,1.92,82.0,
26,03t,2019-01-26,02:00:00,127.0,186.0,3.0,1.86,81.0,
27,03t,2019-01-26,03:00:00,133.0,197.0,3.0,1.88,78.0,
28,03t,2019-01-26,04:00:00,138.0,206.0,3.0,1.74,68.0,
29,03t,2019-01-26,05:00:00,126.0,168.0,1.0,1.46,66.0,
30,03t,2019-01-26,06:00:00,119.0,148.0,,1.41,64.0,
31,03t,2019-01-26,07:00:00,108.0,143.0,2.0,1.21,56.0,
32,03t,2019-01-26,08:00:00,95.0,131.0,16.0,0.81,36.0,
33,03t,2019-01-26,09:00:00,75.0,113.0,30.0,0.57,25.0,
34,03t,2019-01-26,10:00:00,63.0,85.0,42.0,0.53,22.0,
35,03t,2019-01-26,11:00:00,55.0,74.0,54.0,0.45,19.0,
36,03t,2019-01-26,12:00:00,45.0,65.0,61.0,0.34,15.0,
37,03t,2019-01-26,13:00:00,32.0,51.0,62.0,0.25,13.0,
38,03t,2019-01-26,14:00:00,27.0,44.0,60.0,0.36,22.0,
39,03t,2019-01-26,15:00:00,25.0,52.0,68.0,0.35,18.0,
40,03t,2019-01-26,16:00:00,23.0,49.0,63.0,0.28,16.0,
41,03t,2019-01-26,17:00:00,21.0,43.0,54.0,0.23,20.0,
